,AZ_F1_11_a,AZ_F1_201_c,AZ_F1_202_b,AZ_F1_202_c,AZ_F1_202_d,AZ_F1_203_a,AZ_F1_203_e,AZ_F1_203_f,AZ_F1_203_g,AZ_F1_203_h,AZ_F1_206_a,AZ_F1_207_c,AZ_F1_3_b,AZ_F1_3_f,AZ_F1_3_g,AZ_F1_7_b,AZ_F1_7_c,AZ_F1_7_d
LOC121831290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Shtn1,5,3,6,7,7,7,3,4,9,5,5,8,2,6,7,5,5,6
Eno4,0,0,1,0,3,1,0,0,2,0,0,0,0,0,0,0,1,0
Hspa12a,1,4,8,12,13,25,11,3,9,12,2,8,5,5,7,7,9,9
LOC121824773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1H10orf82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102917942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102909280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102908767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102908455,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Ccdc172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gfra1,1,3,3,1,2,1,0,1,1,0,3,3,0,4,2,0,1,0
LOC121824807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atrnl1,2,5,6,5,3,4,6,3,4,5,4,8,1,5,5,3,3,3
LOC121824808,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trub1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121825106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fhip2a,31,36,35,56,60,42,40,37,56,47,42,47,31,24,32,38,32,43
Ablim1,59,115,64,73,112,54,67,121,65,224,127,81,64,70,60,60,67,172
Afap1l2,1,0,0,2.33,2.2,2,0,3,3,2.33,4,4,2,3.33,1,2,0,3
Vwa2,1,0,0,3,0,0,1,1,0,0,1,0,0,0,0,2,0,1
Tdrd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc186,6,19,15,17,14,17,23,22,17,17,17,20,12,17,11,13,4,18
Adrb1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Nhlrc2,26,36,41,41,51,38,44,51,37,33,43,34,39,27,45,38,39,45
Dclre1a,7,10,13,7,11,10,9,17,13,7,11,11,6,5,11,13,8,11
Plekhs1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casp7,1,3,3,5,5,5,7,6,2,4,7,7,5,2,5,9,2,1
LOC102927717,1512,1305,727,1139,1912,884,864,1178,1181,2352,1286,1047,1598,1162,1452,1411,1499,1732
Habp2,16,7,7,4,11,1,5,6,9,24,7,9,14,3,14,14,7,17
LOC121828583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121829627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tcf7l2,21,29,24,50,29,28,25,49,33,38,29,25,30,15,22,33,37,32
LOC121827012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vti1a,7,10,7,10,15,18,11,13,15,13,12,12,7,18,7,9,10,19
LOC121824518,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Zdhhc6,15,16,12,20,18,22,23,20,27,13,24,17,22,20,12,21,15,20
Acsl5,6,16,11,14,16,11,7,16,19,19,11,12,18,17,10,17,13,7
LOC102924232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tectb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpam,106,88,77,93,114,56,79,98,82,186,87,106,70,68,108,98,81,87
LOC121824504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adra2a,0,0,1,2,1,1,2,0,3,0,0,0,1,0,3,1,2,0
Shoc2,26.5,21,30.5,21,26.5,20.5,27.5,26,26,28.5,41,29.5,23,28,18.5,27,21.5,32.5
Bbip1,24,29,29,36,31,29,31,25,35,32,29,28,30,38,21,27,29,22
Pdcd4,29,32,41,30,23,33,28,33,43,15,24,30,30,25,27,49,20,36
Rbm20,70,66,111,93,82,91,80,80.33,72,95,87,67,55,66,70,83,70,101
LOC121824474,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Smc3,43,62,73,59,81,66,52,68,70,71,67,51,36,48,50,69,67,47
LOC121824466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusp5,2,1,0,2,4,6,4,2,5,4,1,2,2,4,4,2,3,5
LOC102905636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smndc1,23,15,26,31,27,30,26,20,22,23,28,24,22,24,27,30,21,35
Mxi1,2,5,1,4,5,4,1,4,7,6,5,3,3,5,4,12,9,4
LOC121826909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Add3,23,23,46,58,18,28,25,38,49,50,32,24,18,32,29.5,37,32,41
LOC121824442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC107399403,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
LOC121824421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xpnpep1,5,6,13,11,7,14,4,10,14,9,12,7,8,6,16,11,6,19
LOC121826936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102925685,7.33,5.5,8.5,7.17,12.17,4.67,6.17,2.5,7.5,6,2.67,3.83,6.83,9.5,6.17,3.83,6.5,5
LOC121826906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121829950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorcs1,2,3,2,5,3,2,2,2.2,7,9,2,4,4,3,4,4,6,2
Sorcs3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
LOC121824397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cfap58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102906932,0,2,1,0,1,0,0,1,1,0,1,1,2,0,4,5,1,3
LOC102907238,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LOC121824372,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gsto1,13,14.5,16.5,7,16,8.5,12,13.5,17,13,8,15,9,8.5,16,9,15,14
Cfap43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col17a1,0,0,1,0,0,0,0,8,1,3,4,1,1,0,0,0,0,0
Slk,50,61,51,54,81,45,42,52,77,70,51,45,43,45,43,84,53,45
Sh3pxd2a,40,49,28,60,49,42,27,47,42,59,57,38,26,31,30,36,33,60
LOC121824342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Neurl1,152,118,147,114,184,175,128,278,187,176,145,132,115,131,140,176,116,187
LOC121824325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhm3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhm1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhm2,1,0,0,5,1,3,1,1,0,2,3,3,1,3,2,0,0,0
Pdcd11,7,6,16,9,11,16,6,15,14,11,9,11,11,12,9,17,9,8
Atp5mk,1666.33,1225,1634.5,1755.17,1942.67,1583.67,1502.17,1156.5,1546.5,1889.5,1082.67,990.33,1572.83,2121,1415.17,1614.83,1582,1270
Taf5,3,6,11,10,6,10,6,12,8,12,8,4,6,2,6,7,4,8
Pcgf6,30,13,19,32,25,44.5,20,33,23.5,19,17,29,31,19,20,29,29,28
Ina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824305,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0.2,0,0
LOC121824306,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
As3mt,1,2,1,0,1,0,4,4,1,2,4,2,1,0,1,2,0,5
LOC121824294,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Borcs7,19,20,28,35,22,34,25,24,32,24,25,18,20,44,27,26,30,25
LOC102915584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wbp1l,73,61,45,69,52,62,44,89,56,83,55,45,59,40,69,89,51,73
Sfxn2,3,25,18,6,8,2,18,37,13,33,55,24,6,8,6,9,4,30
Arl3,23,40,37,38,39,48,37,41,51,54,31,31,37,45,34,40,32,39
LOC121824288,0,2,2,0,1,1,0,0,0,1,0,1,0,0,0,0,2,1
Trim8,16.5,16,10.5,13.5,19.5,24.5,8,32.75,18.33,15,27.5,16.5,13,15,8.5,15,24,23
Sufu,4,12,7,13,13,20,12,6,6,11,17,10,4,4,12,11,8,5
Actr1a,82,89,73,118,122,120,75,102,117,102,108,86,67,79,75,120,76,95
Mfsd13a,2,2,2,6,8,7,3,6,3,7,3,4,8,6,3,6,1,6
Cuedc2,21,23,22,32,30,31,19,27,24,22,26,22,19,32,21,22,26,27
Psd,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0
Nfkb2,8,5,6,6,12,4,5,8,11,5,6,8,2,8,4,8,6,10
Gbf1,55,58,77,48,75,53,71,82,74,80,76,71,44,50,51,83,64,91
Pitx3,3,4,2,3,3,2,5,4,3,2,6,4,5,4,3,4,3,6
Elovl3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nolc1,31,32,34,30,27,39,30,49,39,45.2,35,23,24,28,26,39,34,36
Pprc1,8,16,18,7,12,13,9,15,13,11,12,14,9,8,7,9,6,7
Ldb1,18,34,34,35,24,24,34,44,23,30,33,30,23,21,33,27,24,36
Hps6,2,4,4,2,10,3,1,2,7,2,4,7,4,5,4,4,3,1
LOC121827819,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armh3,14,12,12,14,12,8,12,8,10,23,10,15,11,10,12,14,12,14
Oga,56,46,56,50,60,64,59,57,56,78,91,58,42,27,42,62,44,69
LOC121820894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fbxw4,15,17,16,14,24,18,16,19,19,26,24,17,15,8,10,20,15,19
Dpcd,13,6,9,18,20,8,9,12,9,9,10,6,12,24,11,6,14,11
Poll,12,5,8,17,13,21,11,13,12,12,14,16,13,11,13,18,9,11
Btrc,32,30,12,32,36,42,41,29,29,25,45,29,29,26,18,25,33,46
LOC121824138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC107402599,5,15,12,3,8,4,11,15,4,19,28,16,0,5,2,7,5,12
Lbx1,19,16,13,18,28,25,18,31,30,31,22,13,7,23,18,28,19,19
Tlx1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazald1,2,1,0,5,0,1,0,1,2,4,1,2,2,2,3,1,1,1
LOC121824129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC107399320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102921786,1,13,4,5,2,8,27,16,4,3,10,14,3,4,4,2,6,10
Lzts2,12,32,20,11,15,12,22,27,16,27,29,17,13,14,10,12,15,23
Slf2,29,49,38,50,44,36,42,52,48,41,50,44,41,33,35,37,40,44
LOC121826941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824063,0,0,4,0,0,0,1,1.2,0.2,1.2,1,0,0.2,0.2,0,0,0,0
LOC121824067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pax2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824039,0,3,2,0,1,0,0,9,0,0,6,5,0,0,0,0,0,7
Hif1an,68,77,73,87,104,96,58,92,103,36,85.2,82,46,54,56,101,63,73
Sec31b,64,69.2,75,55,74,86,64,105,78,55,75,75,59,59,66,85,60,79
Wnt8b,3,7,11,3,4,5,5,8,4,7,8,4,2,5,5,4,1,7
LOC121824023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LOC121826902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102916341,1,1,1,98.5,46.5,11,6,1,7,5,8,4.5,4,8,37,3,9,1
LOC121823984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102916015,0,0,0,0,0.33,0,0,0,0.33,0,0,0,0,0,0.33,0,0,0
LOC102925104,0,0,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102915706,25,34,23,88,71.83,59,11,22,56.33,56,33,34.5,23,50,52.33,41,72,42
LOC102911425,0,0,0,0,0.33,0,0,0,1.33,0,0,0,0,0,0.33,0,0,0
LOC121823981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102911122,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
LOC121822176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pkd2l1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloc1s2,25,23,32,45,34.25,39,16.25,24,31,21,23,12,23,33,22,27,30,11
Cwf19l1,5,5,2,3,4,3,4,6,3,6,5,7,3,3,1,3,2,14
LOC102910166,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
LOC121827014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102910183,14,9,6,7,6,15,11,12,7,13,13,6,5,14,6,6,4,12
Abcc2,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,1
LOC102926157,10.47,6.45,11.62,12.63,15.75,7.75,12.5,4.73,13.3,12.48,5.8,7.48,9.77,12.82,11.7,10.1,14.03,7.77
Cutc,10,14,21,20,16,23,17,20,18,17,23,26,15,29,8,26,12,23
LOC102911339,64,42,66,54,65,55,36,46,58,66,47,60,39,34,37,70,51,62
Entpd7,0,2,3,5,2,3,0,3,1,2,3,1,3,0,1,3,3,6.5
Slc25a28,24,22,28.5,28,35,17,24,37,26,31,52,24,16,24,21,32,23,33
Got1,550,638,448,374,733,442,352,466,476,638,568,388,544,476,494,480,538,621
Cnnm1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hpse2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hps1,3,5,2,5,5,1,3,1,5,6,1,3,2,1,3,1,1,7
Pyroxd2,4,3,7,6,4,7,8,6,3,8,5,13,0,2,3,9,6,6
Loxl4,4,9,12,9,12,13,7,5,12,14,19,2,14,8,6,7,7,10
R3hcc1l,8,12,5,5,6,7,8,10,8,10,6,6,5,8,3,16,9,9
LOC121832715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crtac1,2,0,0,1,0,1,1,0,1,2,1,1,0,2,0,0,2,0
LOC121823899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golga7b,2,6,2,2,0,4,6,6,0,2,1,3,3,3,0,3,3,3
Sfrp5,4,7,2,9,16,14,2,4,15,7,11,6,19,16,17,14,18,11
Zfyve27,12,11,15,13,13,7,10,12,8,14,11,11,6,9,22,11,5,19
Marveld1,6,5,4,9,6,4,2,5,5,8,3,3,6,2,4,2,8,5
Avpi1,12,15,17,19,24,11,14,9,23,22,8,10,13,18,18,16,10,14
Pi4k2a,9,13,9,8,8,12,5,16,12,9,13,9,8,7,13,16,12,16
Morn4,0,0,0,1,1,0,0,2,1,1,1,0,1,1,1,0,2,0
Hoga1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1
C1H10orf62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ankrd2,160,130,34,62,207,52,90,255,57,448,125,100,242,376,184,101,232,180
Ubtd1,11,4,9,9,16,8,2,10,11,10,6,9,6,11,11,9,6,4
Mms19,9,13,17,12,16,12,12,12,9,20,22,16,8,10,10,20,6,12
Zdhhc16,19,21,18,37,27,30,18,29,22,27,32,21,21,26.5,21,17,18,21
Exosc1,6,7,11,9,7,4,12,7,8,12.83,6,4,7,9,7,11,3,10
Pgam1,28.75,38.33,39.58,24.67,46,41.92,24.75,34.75,41.75,61.2,37.75,35.5,33.67,25.08,36.5,37.33,30.92,41
Rrp12,34,40,37,44,42,47,31,61,37,51,57,48,40,34,43,49,37,42
LOC121823813,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Arhgap19,1,5,3,10,12,4,4,5,5,2,5.2,10,6,7,7,6,10,6
Slit1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1
Pik3ap1,8,2,14,7,12,15,11,13,5,5,10,9,1,11,4,16,11,11
LOC121823795,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
LOC121823780,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tm9sf3,177.5,132.5,142.5,233,187,233.5,174.5,206.5,216.5,211,195,191,131,192,152,224.5,199.5,217
Tll2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LOC121823777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opalin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dntt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102916824,37.3,33.52,41.88,62.58,65.47,62.2,47.55,59.4,52.35,42.48,45.48,36.75,46.63,55.2,37.03,46.8,48.12,46.4
Blnk,0,0,0,1,0,0,1,1,1.5,0,0.5,0,0,1,0,1,1,0
Znf518a,5,2,15,5,13,11,11,7,11,10,4,6,3,17,13,6,11,11
Ccnj,7,5,9,5,12,9,9,14,6,12,9,6,5,7,4,13,10,11
Cc2d2b,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
Entpd1,1,2,0,1,1,1,0,3,1,0,0,1,1,0,1,2,0,2
Tctn3,0,0,4,2,3,1,2,2,3,3,3,2,1,1,3,1,1,2
Aldh18a1,2,2,4,6,3,2,1,0,2,2,1,3,1,0,2,4,5,3
Sorbs1,81,100,95.5,62.5,141.5,56,79.5,127,80.5,227,114,78,133.5,100,118,94.5,129,138
LOC121823742,0,2,5,3,1,0,2,2,0,12,2,3,0,1,1,2,2,5
Pdlim1,72,35,19,37,41,16,17,41,41,114,31,21,50,33,69,35,28,54
LOC102913528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102926095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102916790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102914467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102902896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102918076,12,7.5,9,12.83,17,15.67,11.67,14,9,19.5,16,13,9.83,17.67,10,13.5,14,16.33
LOC121823658,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Tbc1d12,12,13,18,14,17,12,10,10,11,18,14,11,8,9,7,17,13,11
Noc3l,7,13,18,12,20,11,10,14,23,19,19,18,8,10,14,9,17,15
Plce1,5,11,8,15,20,8,6,10,12,4,8,6,16,8,9,4,7,9
LOC121827066,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
LOC121823645,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Slc35g1,1,1,4,2,7,3,1,0,6,2,0,1,0,3,6,0,3,4
LOC121826897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lgi1,0,0,0,2,0,0,1,0,0,2,1,0,0,0,0,0,1,1
LOC121823629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102916804,17,9,24,27,17,20,11,25,21,18,14,12,14,25,12,17,14,12
Pde6c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rbp4,1,2,1,8,10,0,4,0,2,6,3,2,2,7,2,2,6,1
Ffar4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Cep55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LOC121823569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102911269,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Exoc6,56,39,36,46,53,37,42,45,43,79,49,41,52,45,45,41,46,54
LOC121827015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823557,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
LOC121826896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hhex,3,5,1,4,0,1,0,6,6,4,4,7,2,2,4,2,2,3
Kif11,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0
Ide,92,92,86,91,121,115,70,120,118,85,88,89,64,67,65,109,82,117
LOC121823551,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
LOC121823548,1,1,1,0,0,3,0,1,1,1,1,0,1,1,0,2,0,1
Cpeb3,73,62,63,63,102,79,62,80,69,70,78,68,54,55,50,83,58,80
Btaf1,14,15,18,14,11,20,29,20,6,37,22,21,13,13,9,12,18,33
Fgfbp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tnks2,130,173.5,171,159,197.5,225,175,182.5,207.5,186,170.5,157.5,150.5,119,144.5,208,120,167
Ppp1r3c,175,380.5,400,194,607,1274.5,651.5,512.5,349,281.5,233,199.5,321,308,123,394,202,878
LOC121826894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hectd2,3,5,3,12,9,2,10,2,3,9,7,5,8,6,6,4,4,7
LOC121830128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcgf5,32,41,45,45,44,51,55,60,50,54,45,48,38,40,24,57,43,37
LOC121823509,0,1,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,1
LOC107402714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823498,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ankrd1,11,10,14,18,38,31,9,25,11,23,10,12,93,65,12,7,11,25
Rpp30,18,16,25,20,15,19,10,18,8,20,17,14,11,25,12,15,13,14
Htr7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121825641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
