Mouse_ID,Species,Strain,Sex,Family,DOB,Habitat,Treatment,Replicate,Cage_ID,DOD,Comments,Elevation,Mass,hb,hct,heart,lv_sep,rv,lungs_wet,BAT,Start_Mass,Final_V02max,InitialVO2max
AZ_F1_203_e,P. aztecus,AZ,M,AZ-203,5/13/16,highland,1000,3,AZ_1000-3,,,2700,39.3,12.6,0.454167312,0.1326,NA,NA,0.213,NA,36.3,3.690025729,4.036909127
AZ_F1_203_f,P. aztecus,AZ,M,AZ-203,5/13/16,highland,1000,3,AZ_1000-3,,,2700,39.3,12.6,0.429498525,0.0963,NA,NA,0.258,NA,36,3.766974838,4.590415336
AZ_F1_203_g,P. aztecus,AZ,F,AZ-203,5/13/16,highland,3000,3,AZ_3000-3,,,2700,39.8,NA,0.447366061,0.111,NA,NA,0.2353,NA,36.1,4.012340545,4.576394843
AZ_F1_203_h,P. aztecus,AZ,F,AZ-203,5/13/16,highland,3000,3,AZ_3000-3,,,2700,38.5,11,0.391498433,0.1312,NA,NA,0.2409,NA,33.4,3.773269513,4.040319925
AZ_F1_206_a,P. aztecus,AZ,M,AZ_206,12/2/15,highland,4500,1,AZ_4500-1,7/6/16,inbred,2700,43.1,15.6,0.387944359,0.1599,0.1008,0.0342,0.2904,0.1885,43.4,3.975014029,4.389017105
AZ_F1_207_b,P. aztecus,AZ,F,AZ_207,1/11/16,highland,3000,2,AZ_3000-2,7/5/16,inbred,2700,40.5,14.3,0.467477331,0.1431,0.0862,0.018,0.2618,0.0558,42.2,3.712600248,4.144595431
AZ_F1_207_c,P. aztecus,AZ,F,AZ_207,3/2/16,highland,4500,2,AZ_4500-2,7/7/16,inbred,2700,41.9,16,0.508477214,0.1454,0.0843,0.0258,0.2767,0.1152,38.9,4.317808281,4.103952295
AZ_F1_3_b,P. aztecus,AZ,F,AZ-3,5/14/15,highland,4500,2,AZ_4500-2,7/7/16,exome capture,2700,44.2,11.2,0.390020583,0.1241,0.0792,0.0233,0.3,0.105,42.4,2.894267482,3.741999753
AZ_F1_3_e,P. aztecus,AZ,M,AZ-3,7/11/15,highland,4500,3,AZ_4500-3,,,2700,46.1,9.4,0.445049875,0.1561,NA,NA,0.2814,NA,46.8,3.970841252,4.677803089
AZ_F1_3_f,P. aztecus,AZ,F,AZ-3,7/11/15,highland,1000,2,AZ_1000-2,7/3/16,,2700,39.6,12.5,0.451677416,0.1454,0.0991,0.0245,0.2346,0.121,37.5,3.957871369,4.699250709
AZ_F1_3_g,P. aztecus,AZ,F,AZ-3,7/11/15,highland,3000,2,AZ_3000-2,7/5/16,,2700,46.1,14,0.46063482,0.1498,0.0989,0.0233,0.3009,0.0865,46,3.888703671,4.160081894
AZ_F1_7_a,P. aztecus,AZ,M,AZ-7,1/22/15,highland,4500,1,AZ_4500-1,7/6/16,,2700,44.9,15.2,0.522982956,0.155,0.0951,0.0171,0.3322,0.2663,41.6,3.048936055,3.804331713
AZ_F1_7_b,P. aztecus,AZ,F,AZ-7,4/9/15,highland,4500,2,AZ_4500-2,7/7/16,,2700,44.6,14.4,0.464097049,0.1672,0.1144,0.0231,0.3935,0.1667,43.1,3.251824295,4.243551343
AZ_F1_7_c,P. aztecus,AZ,M,AZ-7,4/9/15,highland,3000,1,AZ_3000-1,7/4/16,,2700,45.7,13.2,0.4753388,0.1784,0.1136,0.031,0.3002,0.0872,44,4.148202175,4.51793276
AZ_F1_7_d,P. aztecus,AZ,M,AZ-7,6/12/15,highland,1000,1,AZ_1000-1,7/2/16,,2700,47.5,13.2,0.432967618,0.5581,0.1054,0.0303,0.2973,0.0839,45.9,3.225617128,4.542726751
AZ_F1_7_f,P. aztecus,AZ,F,AZ-7,7/28/15,highland,1000,2,AZ_1000-2,7/3/16,,2700,53.6,12,0.419861312,0.2035,0.1238,0.0302,0.3309,0.1946,52.4,4.845026167,5.110839125
LN_F1_114_a,P. maniculatus,LN,F,LN_114,2/18/15,lowland,1000,2,LN_1000-2,5/12/16,,430,14.7,15.2,0.517876223,0.0975,0.0599,0.0144,0.1074,0.1214,16.8,2.397288073,2.450247069
LN_F1_114_c,P. maniculatus,LN,F,LN_114,2/18/15,lowland,3000,2,LN_3000-2,5/10/16,,430,21.9,14,0.493587221,0.1357,0.0887,0.0196,0.132,0.0675,22,3.2751892,3.483871541
LN_F1_114_e,P. maniculatus,LN,M,LN_114,2/18/15,lowland,3000,1,LN_3000-1,5/7/16,,430,21.4,16.7,0.5729757,0.1193,0.0844,0.0188,0.1361,0.1199,19.9,2.916327494,3.098207664
LN_F1_114_f,P. maniculatus,LN,M,LN_114,2/18/15,lowland,4500,1,LN_4500-1,5/9/16,exome capture,430,21.2,16.9,0.604818068,0.1617,0.0786,0.0244,0.1238,0.126,21.9,4.107344213,3.795196742
LN_F1_114_i,P. maniculatus,LN,F,LN_114,3/16/15,lowland,1000,2,LN_1000-2,5/12/16,,430,20.5,15,0.521521795,0.1368,0.086,0.0228,0.1314,0.1668,19.1,2.652142246,3.04800771
LN_F1_114_j,P. maniculatus,LN,F,LN_114,3/16/15,lowland,4500,2,LN_4500-2,5/11/16,,430,20.6,18.1,0.608211659,0.1372,0.0861,0.0209,0.1834,0.1138,19.2,3.734528829,3.827999044
LN_F1_121_b,P. maniculatus,LN,F,LN_121,11/15/15,lowland,1000,2,LN_1000-2,5/12/16,,430,14.7,13.6,0.48644139,0.0939,0.0545,0.0128,0.0934,0.0699,13.7,2.340543901,2.837622574
LN_F1_121_d,P. maniculatus,LN,M,LN_121,11/15/15,lowland,1000,1,LN_1000-1,5/5/16,,430,17.4,15.6,0.507566001,0.0901,0.063,0.0161,0.1061,0.0877,17.1,3.106782069,3.457733879
LN_F1_121_f,P. maniculatus,LN,F,LN_121,12/9/15,lowland,3000,2,LN_3000-2,5/10/16,,430,16,12.3,0.522927085,0.1037,0.064,0.0204,0.1062,0.0976,16.3,2.724168658,2.801875214
LN_F1_121_h,P. maniculatus,LN,M,LN_121,12/9/15,lowland,3000,1,LN_3000-1,5/7/16,,430,19.7,14.7,0.564367993,0.1248,0.0836,0.0153,0.1053,0.0734,13.9,3.142342373,3.067432783
LN_F1_121_i,P. maniculatus,LN,M,LN_121,12/9/15,lowland,4500,1,LN_4500-1,5/9/16,,430,14,16.5,0.568530936,0.0888,0.0565,0.0159,0.1113,0.0899,14.2,2.864733347,2.908896354
LN_F1_121_o,P. maniculatus,LN,F,LN_121,1/29/16,lowland,4500,2,LN_4500-2,7/7/16,exome capture,430,20.4,18.7,0.583509083,0.1154,0.0786,0.0196,0.1507,0.1175,15.6,3.723382415,3.908244818
LN_F1_121_p,P. maniculatus,LN,M,LN_121,1/29/16,lowland,3000,3,LN_3000-3,,,430,23.6,17.1,0.563319986,0.1216,NA,NA,0.1456,NA,21.9,4.847400992,4.859490658
LN_F1_201_b,P. maniculatus,LN,M,LN_201,12/4/15,lowland,1000,1,LN_1000-1,5/5/16,,430,16.8,15.9,0.434168272,0.0808,0.0633,0.0155,0.0759,0.1319,14.7,2.35938368,2.700598582
LN_F1_201_c,P. maniculatus,LN,F,LN_201,12/28/15,lowland,4500,3,LN_4500-3,,,430,21.9,17.2,0.562489093,0.102,NA,NA,0.1372,NA,20.3,3.899003295,4.179497083
LN_F1_201_d,P. maniculatus,LN,F,LN_201,12/28/15,lowland,3000,2,LN_3000-2,5/10/16,,430,19,14.6,0.502014114,0.0976,0.0636,0.0152,0.1153,0.0793,16.2,3.069710602,3.278592557
LN_F1_201_e,P. maniculatus,LN,M,LN_201,12/28/15,lowland,3000,1,LN_3000-1,5/7/16,,430,20.4,14.1,0.517345686,0.1462,0.087,0.0207,0.1177,0.0985,17.2,3.253349189,3.078840729
LN_F1_201_f,P. maniculatus,LN,F,LN_201,1/19/16,lowland,4500,2,LN_4500-2,7/7/16,,430,16.7,19.1,0.612789116,0.1034,0.0679,0.0161,0.1445,0.1606,15.6,3.318342055,2.896195967
LN_F1_201_k,P. maniculatus,LN,F,LN_201,2/12/16,lowland,1000,3,LN_1000-3,,,430,17.8,13.9,0.487740368,0.0906,NA,NA,0.0948,NA,16.3,3.054318931,3.287723323
LN_F1_201_l,P. maniculatus,LN,F,LN_201,2/12/16,lowland,4500,3,LN_4500-3,,,430,20.4,17,0.551894559,0.0874,NA,NA,0.1384,NA,17,3.867007248,4.416544145
LN_F1_201_n,P. maniculatus,LN,F,LN_201,2/12/16,lowland,1000,3,LN_1000-3,,,430,15.3,12.5,0.47914476,0.0863,NA,NA,0.0991,NA,13.8,2.335189137,3.04416956
LN_F1_201_o,P. maniculatus,LN,M,LN_201,2/12/16,lowland,3000,3,LN_3000-3,,,430,19.9,16.2,0.534511187,0.0987,NA,NA,0.1225,NA,23.4,3.281284046,3.42443765
LN_F1_202_b,P. maniculatus,LN,M,LN_202,11/25/15,lowland,1000,1,LN_1000-1,5/5/16,,430,20.5,16.2,0.544811321,0.1977,0.0878,0.021,0.1613,0.107,14.4,3.680111971,3.596919456
LN_F1_202_c,P. maniculatus,LN,M,LN_202,11/25/15,lowland,4500,1,LN_4500-1,5/9/16,,430,20.8,16.7,0.611453037,0.1362,0.077,0.0218,0.0812,0.1441,18.9,3.343667731,3.171623158
LN_F1_202_f,P. maniculatus,LN,M,LN_202,12/28/15,lowland,3000,3,LN_3000-3,,,430,24.2,16,0.473478939,0.127,NA,NA,0.1315,NA,18.3,4.017825686,4.24084333
LN_F1_202_k,P. maniculatus,LN,F,LN_202,2/18/16,lowland,1000,3,LN_1000-3,,,430,17.4,12.6,0.474473121,0.1222,NA,NA,0.141,NA,18.4,2.954636669,3.873191754
LN_F1_202_l,P. maniculatus,LN,F,LN_202,2/18/16,lowland,4500,3,LN_4500-3,,,430,19.4,16.2,0.556795676,0.1373,NA,NA,0.1643,NA,21.6,4.049189954,4.939462821
LS_F1_202_a,P. leucopus,LS,F,LS_202,11/16/15,lowland,4500,2,LS_4500-2,5/11/16,,430,26.2,16.1,0.555329198,0.1326,0.0719,0.0328,0.2231,0.0689,22.8,3.794763814,3.522076339
LS_F1_202_e,P. leucopus,LS,M,LS_202,11/16/15,lowland,3000,1,LS_3000-1,5/7/16,,430,32.8,11.8,0.528794614,0.147,0.0903,0.0257,0.152,0.0745,30.4,3.333254448,3.334774749
LS_F1_202_g,P. leucopus,LS,F,LS_202,12/17/15,lowland,1000,2,LS_1000-2,5/12/16,,430,24.9,13.8,0.493260612,0.1401,0.0813,0.0193,0.1767,0.141,20.7,3.208727473,2.201727765
LS_F1_202_h,P. leucopus,LS,F,LS_202,12/17/15,lowland,3000,2,LS_3000-2,5/10/16,,430,25.6,15,0.502255719,0.1237,0.0831,0.0231,0.1187,0.151,24.2,3.341834668,3.159658191
LS_F1_202_j,P. leucopus,LS,M,LS_202,12/17/15,lowland,1000,1,LS_1000-1,5/5/16,,430,23.2,15.2,0.516544758,0.1274,0.0861,0.019,0.1665,0.0893,23.8,3.271035968,3.30719904
LS_F1_202_k,P. leucopus,LS,M,LS_202,12/17/15,lowland,1000,3,LS_1000-3,,,430,28.3,13.8,0.473137495,0.1217,NA,NA,0.1745,NA,23.6,3.265268879,3.958005158
LS_F1_202_m,P. leucopus,LS,M,LS_202,12/17/15,lowland,4500,1,LS_4500-1,5/9/16,exome capture,430,22.7,17.8,0.608920017,0.1333,0.077,0.0158,0.1897,0.0829,21.1,4.54029032,2.996197869
LS_F1_202_v,P. leucopus,LS,M,LS_202,2/21/16,lowland,4500,3,LS_4500-3,,,430,30.6,18.6,0.608427533,0.1373,NA,NA,0.2234,NA,30.6,4.30597109,4.010200612
LS_F1_206_a,P. leucopus,LS,F,LS_206,11/14/15,lowland,4500,2,LS_4500-2,5/11/16,,430,18.5,17.8,0.606211505,0.0869,0.0554,0.0205,0.1823,0.0265,18.6,2.463079942,2.800008552
LS_F1_206_c,P. leucopus,LS,F,LS_206,11/14/15,lowland,4500,2,LS_4500-2,5/11/16,,430,18.5,17.7,0.599959976,0.0877,0.0528,0.0201,0.1388,0.0433,18,2.830934703,2.906704592
LS_F1_206_e,P. leucopus,LS,M,LS_206,11/14/15,lowland,1000,1,LS_1000-1,5/5/16,,430,21.2,16.8,0.544572197,0.1337,0.0614,0.021,0.1927,0.0654,22.2,2.65213434,3.296545897
LS_F1_206_n,P. leucopus,LS,M,LS_206,4/15/16,lowland,1000,3,LS_1000-3,,,430,30.3,13.6,0.54356412,0.124,NA,NA,0.2028,NA,28.1,NA,4.529786414
LS_F1_206_o,P. leucopus,LS,M,LS_206,4/15/16,lowland,4500,3,LS_4500-3,,,430,32.1,17,0.563830229,0.1479,NA,NA,0.2085,NA,33,5.212495469,2.975554007
LS_F1_207_c,P. leucopus,LS,F,LS_207,11/11/15,lowland,1000,2,LS_1000-2,5/12/16,,430,24.5,15.1,0.514630945,0.1339,0.0864,0.0227,0.177,0.0442,23.3,3.225328683,3.872224345
LS_F1_207_e,P. leucopus,LS,M,LS_207,11/11/15,lowland,1000,1,LS_1000-1,5/5/16,,430,27.3,15.3,0.488419273,0.1181,0.0738,0.0382,0.1913,0.0489,27,4.500834266,3.846642347
LS_F1_207_h,P. leucopus,LS,F,LS_207,12/13/15,lowland,3000,2,LS_3000-2,5/10/16,,430,20.6,15.3,0.577267486,0.1,0.0603,0.0216,0.148,0.0515,21.3,2.779261325,5.116895903
LS_F1_207_i,P. leucopus,LS,M,LS_207,12/13/15,lowland,3000,1,LS_3000-1,5/7/16,,430,40.3,16.3,0.560534513,0.1634,0.1078,0.0317,0.2134,0.1813,32.3,5.371546241,4.078883398
LS_F1_207_j,P. leucopus,LS,M,LS_207,12/13/15,lowland,4500,1,LS_4500-1,5/9/16,exome capture,430,27.1,15.2,0.589901214,0.1397,0.0797,0.0237,0.1945,0.1761,23.6,3.085606903,2.949592654
LS_F1_207_k,P. leucopus,LS,M,LS_207,12/13/15,lowland,4500,1,LS_4500-1,5/9/16,,430,28.8,18.8,0.576876691,0.1429,0.0874,0.0312,0.2216,0.1065,27.1,3.881922258,3.738177248
LS_F1_208_a,P. leucopus,LS,F,LS_208,11/16/15,lowland,3000,2,LS_3000-2,5/10/16,,430,24.4,14.6,0.490313626,0.1292,0.0897,0.0198,0.1993,0.1057,22.7,3.637052975,3.600374561
LS_F1_208_b,P. leucopus,LS,F,LS_208,11/16/15,lowland,1000,2,LS_1000-2,7/8/16,,430,25.5,14.5,0.473800251,NA,NA,NA,NA,NA,23.9,3.436331921,3.164741063
LS_F1_208_d,P. leucopus,LS,M,LS_208,11/16/15,lowland,3000,1,LS_3000-1,5/7/16,,430,38.7,17.6,0.584801146,0.1651,0.1125,0.0292,0.192,0.4076,34.2,4.548886353,3.400343547
LS_F1_208_f,P. leucopus,LS,F,LS-208,1/17/16,lowland,3000,3,LS_3000-3,,,430,25.1,14,0.429734346,0.1194,NA,NA,0.1965,NA,24.9,3.594786465,4.240062728
LS_F1_208_j,P. leucopus,LS,M,LS-208,1/17/16,lowland,1000,3,LS_1000-3,,nick on right ear,430,48.4,12.7,0.508660024,0.1714,NA,NA,0.2382,NA,41.4,4.720739555,5.216510759
LS_F1_208_k,P. leucopus,LS,M,LS-208,1/17/16,lowland,4500,3,LS_4500-3,,,430,47.7,17.1,0.576518849,0.17,NA,NA,0.1907,NA,44.9,5.175196423,5.123069967
ME_F1_104_ac,P. maniculatus,ME,F,ME_104,6/22/15,highland,3000,2,ME_3000-2,5/10/16,,4350,24.3,17.6,0.596202343,0.1286,0.0853,0.0212,0.1682,0.1788,22.4,3.565068264,5.861138957
ME_F1_104_f,P. maniculatus,ME,M,ME_104,3/23/15,highland,1000,1,ME_1000-1,5/5/16,,4350,25.7,13.8,NA,0.1524,0.102,0.0172,0.1807,0.1152,25.4,4.171077188,4.715000062
ME_F1_104_m,P. maniculatus,ME,M,ME_104,4/20/15,highland,3000,1,ME_3000-1,5/7/16,,4350,29,16.1,0.528547123,0.1424,0.0966,0.0242,0.1758,0.1324,25.8,3.916813827,4.516135472
ME_F1_104_v,P. maniculatus,ME,F,ME_104,5/18/15,highland,1000,2,ME_1000-2,5/6/16,,4350,18.3,9.6,0.516729109,0.1247,0.079,0.0191,0.1677,0.992,19.3,2.795846896,3.460479141
ME_F1_104_w,P. maniculatus,ME,F,ME_104,5/18/15,highland,4500,2,ME_4500-2,5/11/16,exome capture,4350,21,13.6,0.550095597,0.1147,0.0713,0.0158,0.1666,0.1039,23.7,4.003415604,3.900367102
ME_F1_104_y,P. maniculatus,ME,M,ME_104,6/22/15,highland,4500,1,ME_4500-1,5/9/16,,4350,24.9,15.5,0.566907217,0.1255,0.0803,0.0225,0.2197,0.2585,26.5,3.123605517,3.773624914
ME_F1_106_b,P. maniculatus,ME,M,ME_106,1/13/15,highland,3000,1,ME_3000-1,5/7/16,,4350,25.7,15.6,0.533794855,0.1295,0.1011,0.0142,0.206,0.3633,21.7,4.487354333,4.036051789
ME_F1_106_c,P. maniculatus,ME,F,ME_106,1/13/15,highland,1000,2,ME_1000-2,5/6/16,,4350,18.1,15,0.492401588,0.1336,0.0895,0.0205,0.1828,0.0789,19.8,3.46980277,3.816791937
ME_F1_106_d,P. maniculatus,ME,F,ME_106,1/13/15,highland,3000,2,ME_3000-2,5/10/16,,4350,24.1,13.8,0.505104718,0.1139,0.0776,0.0162,0.1571,0.1522,20.1,4.180520568,4.306605316
ME_F1_106_f,P. maniculatus,ME,M,ME_106,2/6/15,highland,4500,1,ME_4500-1,5/9/16,exome capture,4350,27.5,15.5,0.582560491,0.1605,NA,NA,0.2282,0.134,26.5,4.89152992,4.87341279
ME_F1_108_d,P. maniculatus,ME,M,ME_108,6/7/15,highland,1000,1,ME_1000-1,5/5/16,,4350,25.3,13.7,0.484070221,0.1311,0.0802,0.0143,0.1821,0.0955,22.4,3.681722895,3.980528842
ME_F1_108_e,P. maniculatus,ME,M,ME_108,6/7/15,highland,3000,1,ME_3000-1,5/7/16,,4350,24.2,14.6,0.519106605,0.1022,0.073,0.018,0.1644,0.0666,24.4,3.79860744,3.721131737
ME_F1_108_h,P. maniculatus,ME,F,ME_108,7/29/15,highland,4500,2,ME_4500-2,5/11/16,,4350,19.7,14.8,0.541088768,0.0948,0.0634,0.0147,0.1663,0.0421,18.5,3.082553622,3.324841296
ME_F1_201_a,P. maniculatus,ME,F,ME_201,4/10/16,highland,1000,3,ME_1000-3,,,4350,19.3,12.5,0.420778151,0.109,NA,NA,0.1742,NA,20.1,NA,4.149296787
ME_F1_201_b,P. maniculatus,ME,F,ME_201,4/10/16,highland,4500,3,ME_4500-3,,,4350,24,14.6,0.494670647,0.1234,NA,NA,0.2104,NA,21,5.213735588,5.218523846
ME_F1_202_a,P. maniculatus,ME,F,ME_202,12/9/15,highland,4500,2,ME_4500-2,5/11/16,,4350,22.5,16.7,0.552155088,0.1318,0.0832,0.0238,0.1692,0.1875,18.6,3.990525451,3.31587159
ME_F1_202_c,P. maniculatus,ME,M,ME_202,12/9/15,highland,1000,1,ME_1000-1,5/5/16,,4350,21,14,0.509232594,0.1411,0.0897,0.0242,0.1373,0.2085,18.8,3.665820796,3.458692537
ME_F1_202_d,P. maniculatus,ME,M,ME_202,12/9/15,highland,4500,1,ME_4500-1,5/9/16,,4350,24,15.9,0.532828653,0.1299,0.0845,0.022,0.1726,0.1508,21.4,4.114471466,4.142795164
ME_F1_202_e,P. maniculatus,ME,M,ME_202,12/9/15,highland,3000,3,ME_3000-3,,,4350,26.4,14.2,0.52095203,0.1183,NA,NA,0.1695,NA,21.3,4.726168554,4.657564396
ME_F1_203_a,P. maniculatus,ME,F,ME_203,12/7/15,highland,1000,3,ME_1000-3,,,4350,22.6,14.2,0.488446303,0.1356,NA,NA,0.1445,NA,28.4,4.227959218,5.153328696
ME_F1_203_b,P. maniculatus,ME,F,ME_203,12/7/15,highland,4500,3,ME_4500-3,,,4350,21.8,15.3,0.48144198,0.1324,NA,NA,0.1784,NA,20.2,4.87,4.678689738
ME_F1_203_e,P. maniculatus,ME,M,ME_203,12/7/15,highland,3000,3,ME_3000-3,,,4350,18.8,14.2,0.494873425,0.1194,NA,NA,0.1183,NA,18.4,3.798364392,4.420978057
ME_F1_204_a,P. maniculatus,ME,F,ME_204,12/11/15,highland,1000,2,ME_1000-2,5/6/16,,4350,19.6,16.2,0.506296324,0.1144,0.0772,0.0217,0.1362,0.1526,18.8,3.213251961,3.265570183
ME_F1_204_b,P. maniculatus,ME,F,ME_204,12/11/15,highland,1000,3,ME_1000-3,,,4350,20.5,13.8,0.47200114,0.1388,NA,NA,0.1436,NA,20.9,3.837138509,NA
ME_F1_204_c,P. maniculatus,ME,F,ME_204,12/11/15,highland,4500,3,ME_4500-3,,,4350,26.3,13.1,0.453125045,0.115,NA,NA,0.1475,NA,20.1,4.59257126,4.161425772
ME_F1_204_o,P. maniculatus,ME,M,ME_204,2/21/16,highland,3000,3,ME_3000-3,,,4350,26.2,14.3,0.506472036,0.105,NA,NA,0.1542,NA,22.8,4.884038721,4.817390223
ME_F1_208_a,P. maniculatus,ME,F,ME_208,11/29/15,highland,3000,2,ME_3000-2,5/10/16,,4350,18.2,16.2,0.528323051,0.0963,0.0606,0.0132,0.1272,0.1312,18,3.163645113,3.926764935
ML_F1_1_b,P. melanophrys,ML,F,ML-1,8/5/15,highland,3000,2,ML_3000-2,5/10/16,,1500,53.4,13,0.492494129,0.1523,0.1065,0.0206,0.2371,0.1704,38.9,2.680654171,3.453492752
ML_F1_10_a,P. melanophrys,ML,F,ML-10,3/16/15,highland,1000,2,ML_1000-2,5/6/16,,1500,52,12.4,0.440648118,0.2385,0.1484,0.0318,0.3176,0.1381,50.3,4.237653285,4.396224783
ML_F1_10_b,P. melanophrys,ML,F,ML-10,4/13/15,highland,3000,2,ML_3000-2,5/10/16,,1500,38.5,12.4,0.45730084,0.2104,0.1458,0.0273,0.3053,0.1711,51.7,3.832637298,4.106614223
ML_F1_10_f,P. melanophrys,ML,M,ML-10,6/8/15,highland,3000,1,ML_3000-1,5/7/16,,1500,69.8,11.5,0.471347451,0.2463,0.1616,0.043,0.3219,0.2359,59.9,4.827764454,3.302303209
ML_F1_201_b,P. melanophrys,ML,M,ML_201,12/7/15,highland,1000,1,ML_1000-1,5/5/16,,1500,36,10.5,0.433962264,0.157,0.1094,0.0099,0.2334,0.1762,30.3,2.83826705,2.732338415
ML_F1_201_c,P. melanophrys,ML,F,ML_201,2/8/16,highland,3000,3,ML_3000-3,,,1500,40.6,12.4,0.478726491,0.1779,NA,NA,0.2645,NA,41.8,3.843182441,4.272664769
ML_F1_201_d,P. melanophrys,ML,M,ML_201,2/8/16,highland,1000,3,ML_1000-3,,,1500,48.6,NA,0.439457596,0.2078,NA,NA,0.2395,NA,43.3,3.905661861,4.044702765
ML_F1_201_g,P. melanophrys,ML,M,ML_201,6/23/16,highland,4500,3,ML_4500-3,,exome capture,1500,38.5,15.8,0.561547028,0.1358,NA,NA,0.3156,NA,37.3,3.818107791,3.369193435
ML_F1_205_a,P. melanophrys,ML,F,ML-205,1/29/16,highland,3000,3,ML_3000-3,,,1500,58.9,10.6,0.40487677,0.4302,NA,NA,0.3252,NA,56.6,4.650550602,6.408785314
ML_F1_205_b,P. melanophrys,ML,M,ML-205,1/29/16,highland,1000,3,ML_1000-3,,,1500,68.3,12,0.44797941,0.2196,NA,NA,0.3552,NA,56,4.699984047,5.319982931
ML_F1_205_c,P. melanophrys,ML,M,ML-205,1/29/16,highland,1000,3,ML_1000-3,,,1500,61.3,12,0.457380233,0.2261,NA,NA,0.3583,NA,53.8,4.961846306,5.609783667
ML_F1_208_a,P. melanophrys,ML,F,ML-208,12/26/15,highland,4500,2,ML_4500-2,5/11/16,exome capture,1500,44.8,14.7,0.558714845,0.1848,0.112,0.0316,0.2944,0,46.4,NA,3.972975455
ML_F1_208_b,P. melanophrys,ML,F,ML-208,12/26/15,highland,1000,2,ML_1000-2,5/6/16,,1500,43.1,11.3,0.452797581,0.1853,0.11,0.0282,0.2286,0.1611,37.2,3.031583576,3.884997932
ML_F1_208_c,P. melanophrys,ML,F,ML-208,12/26/15,highland,3000,2,ML_3000-2,5/10/16,,1500,36.7,14,0.48531556,0.1675,0.0952,0.0261,0.2431,0.1516,35.5,3.108504483,3.180385064
ML_F1_208_d,P. melanophrys,ML,F,ML-208,1/26/16,highland,4500,2,ML_4500-2,7/8/16,,1500,44.9,14.5,0.485433246,NA,NA,NA,NA,NA,51,4.903066625,4.951414409
ML_F1_208_g,P. melanophrys,ML,F,ML-208,5/22/16,highland,3000,3,ML_3000-3,,,1500,46.5,13.6,0.496812755,0.1654,NA,NA,0.2915,NA,42.8,4.422368983,4.986233675
ML_F1_208_i,P. melanophrys,ML,M,ML-208,5/22/16,highland,4500,3,ML_4500-3,,,1500,55.9,13,0.514585475,0.185,NA,NA,0.2417,NA,47.9,4.558891652,4.378095648
ML_F1_208_j,P. melanophrys,ML,M,ML-208,7/26/16,highland,4500,3,ML_4500-3,,,1500,61.8,14.7,0.521097773,0.2038,NA,NA,0.3302,NA,48.8,5.223539526,4.666614526
