,AZ_F1_11_a,AZ_F1_203_a,AZ_F1_203_e,AZ_F1_203_f,AZ_F1_3_f,AZ_F1_7_d,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48
Abca5,4.948402883,5.395809232,6.236880728,5.622914653,6.206338533,5.628990298,4.539751014,4.076672438,5.197668398,4.665378488,6.256472814,5.531129025,5.363730031,6.445283195,5.376290653,5.38661718,5.671158109,5.392942691,4.646299803,4.781261694,4.488627598,4.098027721,4.663970644,5.177215762
Abca9,4.598111994,4.564492538,5.848416781,4.733387332,5.256031374,5.503005873,5.146470047,5.129492315,4.68836933,5.511967341,6.115807491,5.401676334,6.359360911,6.585587175,6.200398854,5.539363707,5.617502233,5.774463555,5.826373125,6.153979751,5.826724606,5.956933062,5.735732555,6.825914935
Abcb10,6.145918871,5.150401189,6.002044777,6.247176932,5.977224991,5.919403574,5.496570353,5.300147683,5.614092933,5.429608761,5.251686577,5.015780036,4.56290408,3.322602624,4.980596039,4.589759361,4.047876135,4.67145383,6.029645347,5.181502053,5.402988203,6.141621722,5.316027384,5.883297636
Abcb6,5.164616294,4.481863345,5.127540008,5.220059458,4.774589452,5.412456836,4.87477236,4.909775724,5.614092933,5.471375667,5.542935482,4.970844111,5.279369826,4.943555875,5.376290653,4.845598174,4.973711621,5.435967182,4.097374823,3.508380306,4.600233637,4.88681567,4.603851987,4.945197493
Abcb7,6.854743048,6.462731798,6.856523054,7.058799559,6.3225824,6.737858327,6.532488715,6.799323291,7.090683497,6.698606168,7.058206053,6.972844165,6.768154126,7.088451558,6.985031463,7.248865515,7.083196155,6.902161199,6.629512999,7.023149843,7.127389864,7.037230267,6.70027099,6.634308646
Abcb8,4.201299516,4.09391477,3.798798692,4.340837769,4.294723065,4.540942305,5.096070484,5.359275011,5.692314328,5.149900295,3.276495212,5.101659137,3.578024412,3.853482834,4.307240435,3.786704995,4.126809047,2.940262517,4.790986096,5.446806885,4.703822401,4.726303758,4.663970644,5.177215762
Abcc1,6.556243905,6.229398979,6.685587256,6.807095072,6.577821675,7.148806924,6.869018015,6.868794007,6.786326701,6.999120107,7.204320465,6.597547577,6.843536984,7.040487568,6.953748203,6.599416286,7.303067011,7.40269986,7.195365459,6.922180849,6.862241551,6.809108701,6.248896558,6.746892153
Abcc4,4.134527727,4.980239708,5.454817465,5.056187249,4.774589452,5.238882382,5.534913545,5.279887525,5.614092933,5.801153754,5.139887991,5.933667611,6.296363,7.040487568,6.02427858,6.126554211,6.687107181,4.872764222,5.75759337,5.790229872,5.999537626,5.712312054,6.015011718,5.632857495
Abcc5,5.164616294,5.349954065,6.297508583,6.114579804,5.616382852,6.904929944,6.532488715,6.785018503,6.352721211,7.186322202,6.359895807,6.995455949,6.858152161,7.179845463,7.273868552,7.309612513,6.823684552,6.614475521,6.400559003,6.452467368,6.769778524,6.585584908,6.415544432,6.401881933
Abcc9,6.040450565,5.662865165,6.542626527,6.469787477,6.079901084,6.379947131,6.329322981,6.617526059,6.922376011,6.832838492,7.231847938,7.279633072,7.834600515,7.924204802,7.726706049,7.62170176,7.552180923,7.313225608,7.378292823,7.537238773,7.516895979,7.525937893,7.273216588,7.625247723
Abcd1,3.208473046,4.09391477,3.95751696,3.7290203,3.747441627,3.907115347,4.201287462,4.167696694,3.755241616,4.802594113,4.069726052,4.353763736,4.991917395,4.122809418,4.938601647,4.532658976,4.4673277,4.157942973,3.981518109,4.618678735,3.746479132,4.182956258,4.003488975,4.225980678
Abcd2,5.230040702,4.980239708,5.532543039,4.498152386,4.929279442,4.358955472,5.457180207,4.909775724,4.569047464,5.429608761,4.295222925,5.591744938,5.555284069,4.662669519,5.173981302,4.936451576,5.347794317,5.840000589,5.859571207,6.403362947,6.039689667,5.076342888,5.735732555,5.7812394
Abcd3,7.456511082,5.919856778,7.062708399,7.19638217,6.853779142,6.765558583,6.569901191,6.813487633,7.031727535,7.23563137,7.133112256,7.006630315,5.991573863,6.248226388,6.15838889,5.974056303,5.617502233,6.278595458,7.77616521,7.768115821,7.572695315,7.542103431,7.462841735,7.425467048
Abce1,6.630811827,6.011072607,6.773585313,6.028747438,6.3225824,6.268200616,6.26234182,6.027345731,6.468390154,6.223998762,6.256472814,6.339259346,6.338665766,6.205366195,5.898486477,6.047231769,6.100724775,6.435237172,6.444981079,6.696198884,6.949133818,6.385101887,6.900966603,6.710331878
Abcf1,6.833850744,7.02624542,6.815650093,6.969476689,6.481074814,7.076927487,6.759940102,6.551453133,6.575469673,6.490921135,6.502331729,6.567679583,6.704876875,6.115625698,6.688301743,6.71941103,6.492194431,6.254762282,6.377824283,5.969606316,6.189976647,6.538015078,6.415544432,6.61465997
Abcf3,5.570335372,5.440251707,5.76499794,5.873267313,5.570095033,5.546234686,4.813704698,5.320127258,5.443647949,4.986673129,4.954049872,5.221592487,5.44342868,4.943555875,5.853994388,5.215762348,5.533080478,5.206736978,5.306403629,5.06002183,4.891045601,4.668569942,4.830614526,5.0067929
Abhd10,4.134527727,4.39421257,4.950071067,4.620559011,4.774589452,4.540942305,3.758262607,4.334139738,3.89411593,4.045594184,3.80233416,3.25288334,3.263597469,2.815142336,4.015633207,4.132479623,3.964373405,3.93614039,3.564834972,4.618678735,4.800468942,4.33914254,3.297274961,4.880854549
Abhd11,4.693974871,3.852191142,5.192834938,4.871287204,4.176116894,5.041531545,4.933359729,4.961574651,4.68836933,4.513727194,5.66911918,3.95284941,4.881788998,4.240699416,5.437878777,5.021920893,5.443409906,5.518348248,5.892022513,5.293542885,5.463277246,6.065377006,5.557030111,5.065865839
Abhd12,1.773871558,1.965262805,1.371671746,1.702536816,1.371671746,1.988087055,4.989660443,5.54050674,5.143007105,4.866599258,4.395998511,4.487391368,4.823402951,4.634513394,4.708068048,4.278557808,5.245389091,3.810984734,5.25742611,4.9952172,4.976269969,5.282840711,5.026528528,4.742861911
Abhd13,4.948402883,4.642644483,4.832066298,4.580899665,4.774589452,5.412456836,3.758262607,4.334139738,3.755241616,4.152161782,3.647418746,4.206483745,4.244770951,3.697269657,4.307240435,4.278557808,4.4673277,4.808731913,4.790986096,4.107762856,3.928577685,4.182956258,4.72168399,4.507446727
Abhd14a,4.26511715,1.965262805,4.911798666,5.5426098,4.404314839,5.36495791,3.882409289,3.361762895,3.755241616,1.946246152,3.647418746,3.857323664,3.949577107,3.522064715,4.015633207,4.132479623,3.5715735,3.522478242,4.568124372,4.9952172,4.703822401,4.545671673,4.178565768,3.875955929
Abhd17a,1.773871558,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,5.242276092,5.506036074,5.197668398,5.511967341,4.490191965,4.549833282,5.043981545,4.718198281,4.895348127,5.179021811,5.015797717,3.673931352,3.855538603,4.225445805,4.891045601,4.480059673,4.603851987,3.584266797
Abhd17b,6.244199391,6.229398979,5.888384489,6.368606366,5.7047281,5.546234686,6.118259945,5.761171546,5.250334047,6.096342746,5.926627191,5.75966283,6.038526338,6.262234757,6.102432304,5.896970032,5.671158109,6.129306625,4.983983051,5.540625066,5.576785861,5.561870312,5.239067316,5.593248468
Abhd18,6.833850744,6.049736984,6.465457051,6.114579804,6.530259071,6.762445812,3.996714223,4.800240712,3.755241616,5.149900295,6.631960099,5.101659137,6.017846986,5.952415002,6.297792365,6.680511265,6.100724775,4.934074901,5.399636128,5.827933799,5.576785861,5.76835472,4.931894548,5.850074003
Abhd2,5.09608345,4.564492538,4.230565883,4.803984284,4.506166196,4.847815321,3.758262607,4.909775724,5.086192952,5.589877169,5.452232064,6.612252846,6.06396554,5.13842084,5.736363417,6.557092754,5.533080478,5.049393112,4.304432686,4.781261694,4.367658392,4.84833067,4.178565768,5.065865839
Abhd4,1.371671746,1.371671746,1.371671746,3.210693407,2.507324275,2.593643488,4.749937417,4.076672438,5.250334047,4.802594113,4.740683721,6.490186844,3.949577107,4.943555875,4.433558258,4.936451576,4.4673277,5.518348248,4.858228257,5.585341241,4.976269969,4.984689323,4.603851987,4.945197493
Abhd5,4.783862892,4.481863345,3.95751696,3.867318814,4.404314839,3.767965456,5.778085173,5.23849314,5.250334047,5.511967341,5.785148549,5.591744938,5.518954082,5.511156552,5.78457271,6.237915305,5.443409906,5.596278199,5.25742611,5.122040199,5.463277246,5.203751949,5.316027384,5.229825396
Abhd6,4.646839512,4.39421257,4.562439459,4.45492812,3.977642837,4.309630989,5.745756737,5.607071465,5.729890046,5.627309096,6.334726794,5.841819377,6.399881342,5.778139434,6.212255928,6.219941874,6.18152171,5.933041047,5.792393089,5.900508387,5.274281034,6.08757546,5.524969566,5.889851527
Abhd8,4.495423045,4.481863345,4.349876404,4.498152386,4.046879388,3.767965456,4.293633377,4.167696694,4.137230398,4.591544559,4.578610645,4.042440962,4.15292432,4.122809418,3.541694221,4.207366795,3.964373405,4.157942973,4.646299803,3.979620845,4.090246198,4.545671673,4.603851987,3.737470682
Abi1,5.352609685,4.854515314,5.427949684,5.319802577,4.929279442,5.041531545,4.68322075,5.011578056,5.170596614,5.429608761,5.404648189,5.43514467,1.371671746,2.025417698,1.804663645,1.816455201,1.81469277,1.371671746,4.922475423,5.238609844,4.600233637,4.726303758,5.278060465,5.065865839
Abl1,6.145918871,6.096862581,6.326893093,6.345124382,6.046481124,6.161039026,4.102623853,5.059906257,4.137230398,5.097516697,4.578610645,4.126792675,4.244770951,3.853482834,4.549701013,4.644685551,4.930360809,4.519726227,4.922475423,4.435418855,5.056739454,4.726303758,5.071615104,4.880854549
Ablim1,6.654835236,6.203847897,6.794771008,7.357620545,6.794620245,7.905959528,5.096070484,6.551453133,6.40010733,6.407316542,6.878293306,5.836819407,6.929086372,6.176068584,6.821355575,7.31808556,6.507024586,6.687507137,5.569766264,6.035545508,6.508810583,6.152192192,6.082649449,6.69169833
Ablim2,1.371671746,2.709094281,2.072518937,2.720246379,1.371671746,2.418597498,5.146470047,4.74218801,5.086192952,5.386596534,5.196869963,4.422124133,5.279369826,5.807095111,5.061086514,5.141321111,4.704531937,4.67145383,4.204615229,5.181502053,5.576785861,4.480059673,4.882143112,5.632857495
Ablim3,4.783862892,4.854515314,4.100491564,5.056187249,4.176116894,5.919403574,4.380422216,4.167696694,4.345223994,5.296522642,4.295222925,4.876542017,4.56290408,4.545673745,4.850757634,3.881222532,3.964373405,5.255589543,5.306403629,5.293542885,5.521147597,5.282840711,5.353020708,4.945197493
Abr,4.868477349,4.918746617,3.95751696,4.935589833,3.57064909,4.452816549,4.201287462,4.253317193,4.68836933,4.802594113,4.490191965,4.775642062,4.054830464,3.522064715,3.750284592,4.748636477,4.201646476,4.934074901,3.564834972,2.46423466,3.000833825,4.545671673,2.219429685,2.726627405
Abra,9.419600327,8.848469495,9.164702981,9.251673179,9.721874781,8.947360695,10.2970288,9.683631001,10.48366524,10.39562242,10.01379705,10.15428818,9.512352501,10.28670661,10.60501986,10.49878029,10.50849865,9.815391919,9.537085668,9.82329891,9.544021133,9.397495235,9.231602588,9.350896836
Abraxas2,5.465575921,6.48411665,5.532543039,4.997148293,5.787974168,5.668653472,5.712687236,5.470721589,5.871109591,5.249285077,5.586234643,5.332316308,5.904132495,5.511156552,5.760669425,5.418487688,5.77283054,4.934074901,5.099649705,5.181502053,5.576785861,5.282840711,5.198990914,5.377038311
Abtb1,1.371671746,1.371671746,2.072518937,1.971498597,2.048471347,1.988087055,5.840646706,5.059906257,5.653733701,5.200448323,3.942216125,4.924463437,5.235264753,5.13842084,5.496945018,5.963292963,5.172843846,4.872764222,4.790986096,5.122040199,5.274281034,4.608429072,4.72168399,4.225980678
Acaa2,8.760103239,7.83173748,7.929225743,8.260925066,8.206249395,8.283431786,8.34891069,8.342357708,8.540531215,7.940520311,7.972507564,8.290608006,7.636892565,6.921951448,8.426536093,8.284888428,8.161292193,8.135171282,8.806448678,8.04919439,8.213868087,8.814188926,8.481751712,8.265040461
Acaca,2.564551229,4.716779541,4.911798666,4.216944192,3.134810635,4.358955472,4.293633377,3.979516106,3.755241616,4.866599258,5.49829648,5.059358506,4.632569424,4.240699416,3.158357106,4.532658976,4.839544029,5.103770221,4.790986096,4.9952172,4.891045601,4.007785157,3.693169672,4.880854549
Acacb,5.759470465,6.505189143,6.639489977,6.754589288,5.570095033,6.242147174,5.644183438,5.011578056,5.143007105,5.511967341,5.452232064,5.43514467,5.322166451,4.872277635,5.080526525,5.303717527,5.364176824,5.103770221,5.892022513,6.188302641,7.127389864,6.385101887,5.843646013,6.23174392
Acad10,6.145918871,6.124361838,5.927274733,6.414453922,6.112564369,6.527460611,4.201287462,3.875341429,2.410505381,3.517240473,4.578610645,2.916172338,3.263597469,3.853482834,3.84426226,3.786704995,5.172843846,4.257242644,6.940005472,6.775524899,6.618923832,6.616448489,6.67127139,5.74554999
Acad11,6.040450565,5.950907285,5.848416781,5.998963082,6.079901084,6.132957008,6.641935619,6.075157222,6.030169834,6.407316542,7.042746538,6.868913279,6.296363,6.956824248,6.700917547,7.099587068,6.763201587,7.445438604,7.686505205,7.758385331,7.72820653,7.877643863,7.787304477,7.774375166
Acad8,6.581530546,5.753711487,5.888384489,6.028747438,6.404003983,6.014821125,5.778085173,5.670699928,5.83707939,5.589877169,5.251686577,6.209879427,5.142791048,5.076345039,6.02427858,5.91941816,5.956915268,5.596278199,6.044156848,6.217004818,5.871906941,6.253843817,6.188776344,6.23174392
Acad9,4.26511715,4.39421257,3.95751696,4.316895624,3.57064909,3.245605433,3.996714223,3.361762895,3.429537117,3.348192456,3.276495212,4.042440962,2.860975866,1.371671746,2.831183116,3.03463318,3.185662771,2.67887367,4.858228257,5.503826625,4.235609909,4.668569942,4.178565768,5.065865839
Acadl,8.182197271,7.254945329,7.596718447,7.575076286,7.787855042,8.002241242,8.364962913,8.848079984,8.733244677,8.648819576,9.332337629,8.560779961,8.738289647,8.533211423,9.30607715,9.21680807,8.971760113,8.6233286,9.401366035,9.236895908,9.358057066,9.48580817,9.200224824,9.262120685
Acadm,9.740437733,8.897109102,9.20284531,9.276713003,9.445638854,9.34018102,9.940572407,10.14777554,9.735794539,9.779163643,9.635179421,9.401416008,9.309741048,8.957972259,9.552203122,9.628006285,9.36268829,9.342908411,10.16462575,10.07823456,9.96216698,10.2385728,9.692161825,9.768214419
Acads,5.845485533,5.253625137,4.987354346,5.112904857,5.570095033,4.979805084,5.375018829,4.74218801,5.086192952,5.511967341,5.586234643,5.015780036,5.555284069,4.451002368,5.87641194,5.539363707,5.135155756,4.157942973,6.100785803,5.446806885,6.039689667,6.367066176,5.649146485,5.708955251
Acadsb,6.954893782,6.462731798,6.773585313,6.938429673,6.947286266,6.985660351,7.692609597,8.126750989,7.769315739,7.80007254,7.548800216,8.156578126,7.540509453,7.610500972,7.927918554,8.025108806,8.094129346,7.669282502,8.709634163,8.714945128,8.728617282,8.667166409,8.691260979,8.642690372
Acadvl,8.519653872,7.663859408,8.057469266,8.363828271,8.343291572,8.315019013,7.905121635,8.267162427,7.96320483,8.121928525,8.634719958,8.239428096,8.008451058,7.726193442,8.604936532,8.636109149,8.584763342,7.969347923,9.323200555,8.739882921,8.958069217,9.257655729,8.795723372,9.066281155
Acap2,4.495423045,4.854515314,4.747668312,4.871287204,5.068977619,4.776997312,4.201287462,4.410673645,4.762764897,4.802594113,4.954049872,5.015780036,4.56290408,4.943555875,4.463482202,4.697597062,4.237658028,5.740543708,4.304432686,4.435418855,4.600233637,4.781815806,4.603851987,5.255427848
Acat1,9.36603607,8.877041505,8.446864543,9.022920448,9.157499382,8.868658354,9.369934709,9.250718225,9.497887884,8.995073852,9.391508279,9.536684167,8.926873574,8.181730202,8.856820602,9.13603872,9.215158518,8.96188052,9.641578766,9.384946362,9.586147048,9.614167017,9.514774227,9.462961268
Acbd3,4.739618835,4.60409764,4.512162137,4.498152386,4.176116894,4.702522777,4.68322075,4.618566641,4.900950414,4.735617019,5.49829648,5.43514467,3.505606265,4.859802224,4.586607789,4.207366795,4.700408776,4.695023794,4.485468926,4.9952172,3.746479132,4.668569942,4.33467709,5.0067929
Acd,3.447277702,4.300890143,3.620435528,3.576044958,3.369126015,3.907115347,4.102623853,4.552542462,4.020788144,4.513727194,4.490191965,5.142754739,5.189768695,4.240699416,4.657186434,4.845598174,4.583821633,5.348595566,4.097374823,4.435418855,4.600233637,4.411320956,4.663970644,5.229825396
Acer3,3.65211058,3.561650356,3.179783313,3.404903722,3.57064909,2.749730325,3.622418372,4.681701026,4.020788144,4.735617019,4.069726052,4.549833282,4.699025137,4.634513394,4.757216113,4.532658976,4.742624044,4.597583751,4.922475423,5.446806885,4.800468942,4.182956258,4.777177112,4.668578083
Acin1,3.831444306,3.852191142,4.460069208,4.410368718,4.236638486,4.881961996,6.606367947,6.352406786,6.445986394,6.635709405,5.66911918,6.597547577,6.088963932,6.481658981,6.297792365,5.941522344,6.383881963,6.266728085,6.466689503,6.523125689,7.031088612,6.585584908,6.810769545,6.88451763
Ackr3,5.352609685,5.950907285,5.676458074,6.480603998,6.646348795,6.18858485,6.215895187,5.977895277,5.802227055,6.318567382,6.229415607,6.28522504,4.937903776,6.907762829,6.995310268,7.500376995,6.273727157,6.205881216,5.859571207,5.711730587,6.479917071,5.529803451,5.707444028,5.0067929
Acly,6.380103867,7.21073184,6.662722722,6.391712261,5.994853193,7.06953858,6.143295166,5.87359916,5.673152976,6.236164443,6.479547689,5.746392475,5.87568332,5.728549833,5.736363417,5.741869805,6.129760818,6.089439207,5.923759905,5.827933799,6.358183491,5.683452614,5.968091382,6.082391656
Aco1,4.598111994,3.197453656,4.230565883,4.580899665,4.404314839,4.150652656,3.305043505,3.641285815,3.601561341,3.805470524,4.069726052,3.64490757,2.607797812,3.322602624,3.424878207,3.331025876,4.047876135,4.257242644,2.386653508,4.225445805,4.090246198,3.911518911,4.093681527,4.668578083
Aco2,10.81354998,10.25688401,10.22135158,10.38583229,10.48877964,10.61109199,10.12468387,10.10666851,10.48983855,10.50020715,10.03933835,10.09270239,9.481226822,9.324606254,9.619368197,9.640728259,9.578138936,10.26967954,10.95122659,10.87513228,10.88515339,10.87967717,10.74921288,10.86605866
Acot13,7.877328311,7.780802949,7.745583222,7.420760859,7.996938595,7.842348037,7.734398745,7.685681658,7.882086034,7.598082962,7.493013972,8.474881794,6.886945702,7.040487568,7.670087207,7.157391516,7.268670878,7.773597504,8.149399659,8.462702786,8.331750599,8.180990674,8.236562606,8.332748736
Acot7,4.868477349,4.564492538,4.832066298,4.580899665,4.601298779,4.915319117,3.54937756,3.763054927,3.958841857,3.594873569,3.942216125,4.353763736,4.762553989,3.322602624,4.015633207,4.207366795,4.405352173,4.257242644,4.204615229,2.803983438,4.703822401,4.007785157,4.093681527,3.218260367
Acox1,2.922143251,2.709094281,2.542185283,3.7290203,2.854916793,3.245605433,4.201287462,4.253317193,5.086192952,4.045594184,3.80233416,4.826973959,4.054830464,4.545673745,3.932490782,3.576782079,4.272792533,4.872764222,4.646299803,4.435418855,5.340069437,4.936582317,4.72168399,4.668578083
Acox2,2.754398263,2.384595308,2.072518937,2.393911232,2.296063857,2.418597498,5.712687236,5.670699928,5.653733701,5.896219,4.186875727,6.339259346,3.076286579,2.025417698,4.492798065,4.589759361,3.781300727,5.633719413,1.371671746,2.018997946,2.632031823,1.858409626,2.508881987,1.371671746
Acox3,5.7144601,5.643988688,4.911798666,5.457570079,5.256031374,5.781492124,4.68322075,4.410673645,5.766511877,4.431471934,4.490191965,4.924463437,4.15292432,4.718198281,3.541694221,4.797931756,4.201646476,5.103770221,5.529077394,5.670818855,5.463277246,5.162519943,5.492180325,5.329617021
Acp1,5.831641638,5.925182735,5.689185616,5.385734109,5.97793427,5.804819236,5.404310535,5.387954098,5.566286781,5.608714529,4.167619479,5.400998983,4.842932751,4.319985625,4.577332395,5.004387539,4.713254721,4.559180139,6.157413009,4.742301188,6.298208589,4.55079396,6.32757977,4.404104942
Acp2,2.088041849,4.09391477,3.798798692,3.404903722,4.506166196,4.540942305,5.534913545,5.23849314,4.762764897,4.591544559,5.018692524,5.259452523,5.481685546,5.13842084,5.46771416,4.346400422,5.347794317,5.156172011,7.073328011,7.329502109,6.670981214,6.385101887,7.120678279,7.097678723
Acsl1,9.55341677,8.993462074,9.184903532,9.167155404,8.794560957,9.309145845,8.037874874,8.235951475,8.134096655,8.625885973,8.53327603,8.810736039,8.209902929,7.653652,8.496951302,8.740657948,8.595210582,8.561530329,9.869003492,9.710496066,9.796294962,10.12376625,9.868588199,9.862861784
Acsl3,5.78145977,5.904077267,6.438788522,5.840054431,6.221391645,5.817225489,3.996714223,4.076672438,3.429537117,4.34424182,3.80233416,3.525689529,4.003163431,4.122809418,2.831183116,3.881222532,3.875739026,4.437426095,2.558233586,4.225445805,4.011675331,4.301652389,4.219205618,4.54944789
Acsl4,5.261672934,5.919856778,5.888384489,5.457570079,5.313355602,6.438481433,5.793981727,5.818480246,4.68836933,5.386596534,5.909682715,5.705832916,5.189768695,5.282842887,5.278679309,5.122094758,5.47392358,5.370939521,5.508294372,5.266337807,5.463277246,5.282840711,5.003445603,5.573028549
Acsl6,5.261672934,5.440251707,6.002044777,5.056187249,4.892133957,5.781492124,5.986120578,6.002832367,5.573332112,5.865221434,6.860768011,5.979757987,6.942864093,6.868008907,5.9416474,5.91941816,6.592939973,5.255589543,6.181767741,6.159017828,6.645187311,6.616448489,6.104508575,6.710331878
Acsm5,7.683669346,7.515978187,8.335618455,8.163601483,6.872971704,8.231408073,4.933359729,4.253317193,5.027049378,3.805470524,5.628272056,5.732998921,3.836036295,5.687613118,5.553687807,5.703578958,3.964373405,4.872764222,5.206727264,6.403362947,6.670981214,6.367066176,5.944046281,6.257312648
Acss1,8.198633257,7.040750144,7.288592779,7.962242524,7.460026116,7.784854067,5.608671827,5.818480246,4.68836933,5.699379581,6.359895807,5.933667611,4.881788998,4.349679511,5.736363417,6.357824755,5.47392358,5.633719413,7.208309263,7.191690951,7.502602288,7.178366432,6.875766254,7.069088531
Acss2,4.495423045,3.978109646,3.620435528,4.216944192,3.977642837,4.497552208,4.749937417,4.334139738,4.345223994,3.930522402,4.88637436,3.95284941,4.41258887,4.872277635,4.549701013,4.644685551,5.380375387,4.437426095,5.04297525,4.856161606,5.682011551,5.529803451,5.239067316,5.0067929
Acss3,4.783862892,4.564492538,4.349876404,4.580899665,4.176116894,4.150652656,4.201287462,3.875341429,3.601561341,3.348192456,2.775909185,4.042440962,5.094232058,4.240699416,4.094244105,4.132479623,4.340594321,4.350145515,4.922475423,5.346460756,5.826724606,4.545671673,5.458628493,5.122614808
Acta1,13.83590464,13.62094805,13.62199235,13.57791952,13.46294875,13.50105569,13.19640119,13.15083212,13.22498983,13.33799685,13.59643865,13.19728712,13.36336119,13.28614945,13.22979746,13.15140867,13.18096991,13.0935655,13.28626408,13.12622626,13.31818785,12.94601441,12.9938724,13.18451271
Acta2,6.530506137,6.754333945,5.127540008,5.5426098,6.794620245,5.588205787,5.778085173,6.144028738,6.303725657,7.041330222,5.404648189,7.578142442,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,5.609338978,4.435418855,7.164179761,4.26316196,5.588393646,3.737470682
Actb,2.564551229,1.965262805,1.371671746,1.371671746,1.749400546,1.712553691,9.021501328,9.14687364,8.930711628,9.554706307,9.040937733,9.739923841,9.494150852,9.286560028,9.391248319,9.225842316,9.69607428,10.67631831,8.709998251,8.406681439,8.746923276,8.583726725,8.874962716,8.921183267
Actc1,8.773879765,6.51561108,9.160628706,8.605339858,5.616382852,7.672288578,5.146470047,6.57658642,7.279900848,8.406606339,9.517084487,8.05259564,10.75825886,8.665588522,11.18834064,10.08428905,10.17314219,6.962260628,7.195365459,6.403362947,5.915717118,5.924496276,5.316027384,6.834433906
Actg1,2.564551229,2.384595308,2.542185283,1.371671746,2.048471347,1.988087055,7.923303007,8.111526761,7.548736511,8.480926057,8.779320139,8.683630303,7.594576957,7.437101025,7.420282049,7.246647952,7.901780318,7.141907301,7.780505213,7.713767236,8.104543573,7.788983042,8.170744265,8.391660301
