,AZ_F1_11_a,AZ_F1_203_a,AZ_F1_203_e,AZ_F1_203_f,AZ_F1_3_f,AZ_F1_7_d,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48,X
Abcb8,4.055560943,3.954975638,3.693871821,4.228034398,4.169986464,4.426123986,5.097530992,5.352100039,5.708084952,5.145330518,3.258739612,5.097315255,3.560919675,3.828212598,4.292197284,3.76130772,4.113476166,2.913856957,4.780975787,5.434820261,4.689040618,4.729459008,4.66882231,5.163117817,Abcb8
Abcc1,6.395014257,6.075251267,6.566070099,6.684450772,6.441641811,7.025187591,6.872462501,6.862746258,6.803446143,6.996161905,7.191799341,6.594708108,6.830404536,7.016759936,6.940988388,6.575566917,7.292788765,7.379602699,7.187281378,6.91104619,6.849028177,6.815236067,6.256594663,6.733765333,Abcc1
Abcc4,3.989696104,4.83228211,5.338385031,4.938695,4.645788032,5.120032711,5.537109958,5.272614222,5.629722101,5.79739455,5.126196884,5.9303454,6.283018201,7.016759936,6.011126463,6.102605263,6.676626782,4.848917027,5.748742968,5.778525133,5.985953863,5.717394287,6.022459556,5.619156232,Abcc4
Abcc5,5.009518072,5.199584042,6.178698878,5.993279022,5.483014346,6.781629618,6.53571773,6.778934283,6.369424013,7.183439298,6.347082322,6.992815568,6.845024353,7.156135343,7.261195025,7.285862949,6.813256701,6.591264211,6.39214547,6.441148615,6.7565352,6.591558522,6.42339764,6.388621865,Abcc5
Abcc9,5.880846348,5.510882522,6.423348173,6.347717716,5.944945198,6.257546702,6.332395366,6.611362249,6.939602376,6.829804699,7.219333759,7.277104754,7.821696805,7.900564274,7.714126084,7.597982719,7.541962866,7.290118401,7.370262126,7.526270135,7.503847653,7.532424447,7.281637331,7.612345789,Abcc9
Abcd1,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.200334178,4.158288161,3.763811499,4.797416714,4.054342423,4.347834719,4.977583303,4.097834408,4.92452204,4.507990544,4.454717499,4.133513809,3.9697183,4.605659832,3.729791678,4.18432926,4.005857019,4.210514485,Abcd1
Abcd2,5.074504087,4.83228211,5.415828966,4.384111449,4.79942884,4.245547602,5.459262055,4.901965201,4.581823339,5.425432291,4.280307112,5.588072573,5.541487459,4.638143408,5.160165779,4.912045848,5.336423361,5.816596571,5.850803723,6.392021257,6.026128495,5.080336913,5.742823143,5.767642513,Abcd2
Abcd3,7.29352372,5.766786757,6.942663773,7.07322182,6.717081974,6.642466256,6.57315672,6.807416046,7.049032818,7.232766725,7.120572539,7.00399477,5.978070785,6.224359583,6.145310102,5.950067626,5.606382413,6.255313056,7.768229684,7.757193364,7.559657893,7.548596203,7.471348532,7.412525272,Abcd3
Abce1,6.469391546,5.857660737,6.653932487,5.907662573,6.186977373,6.146037686,6.265357536,6.020814865,6.485216625,6.220600345,6.243610283,6.336257924,6.325340409,6.181489457,5.885259095,6.02326268,6.089952604,6.411989987,6.436591132,6.68498311,6.935946893,6.390915782,6.909181655,6.6971924,Abce1
Abcf1,6.671958562,6.870184575,6.695935276,6.846600126,6.34510099,6.953396647,6.763320176,6.545255295,6.592402113,6.487701622,6.489580283,6.564822835,6.691697982,6.091727184,6.675454329,6.695582151,6.481629874,6.231474178,6.369398394,5.958024183,6.176494659,6.54395278,6.42339764,6.601485809,Abcf1
Abcf3,5.412811534,5.289380097,5.647526414,5.752607734,5.436914762,5.426139508,4.814558332,5.312904474,5.458940935,4.981835966,4.940147278,5.217434621,5.429541381,4.91920472,5.840738773,5.191499766,5.52188704,5.183077272,5.297107035,5.047625944,4.876509916,4.671566173,4.835932348,4.992511252,Abcf3
Abhd10,3.989696104,4.251588154,4.835885893,4.505643625,4.645788032,4.426123986,3.755429214,4.325164393,3.903582169,4.038455502,3.786291937,3.242458773,3.245411253,2.788043745,3.999980761,4.107467127,3.950630716,3.911463618,3.551638157,4.605659832,4.785818187,4.341098498,3.295363154,4.866422487,Abhd10
Abhd11,4.542685094,3.716820238,5.077471249,4.754795093,4.052608956,4.9236327,4.934485126,4.953847872,4.701585051,4.507919947,5.655900344,3.945663895,4.867322992,4.215837255,5.424312315,4.997561946,5.432133404,5.49482835,5.883280209,5.281407088,5.449322893,6.070885436,5.563852971,5.051650341,Abhd11
Abhd12,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.990906104,5.533536942,5.157600841,4.861545124,4.381269219,4.481809142,4.808862811,4.609967793,4.693684423,4.253682098,5.233909778,3.786150476,5.248072134,4.982741345,4.961836145,5.287241925,5.032329615,4.728249219,Abhd12
Abhd13,4.794902232,4.497495299,4.718529288,4.466259571,4.645788032,5.292871475,3.755429214,4.325164393,3.763811499,4.145365347,3.630935074,4.20013328,4.229308189,3.671801132,4.292197284,4.253682098,4.454717499,4.78484354,4.780975787,4.093738822,3.912356395,4.18432926,4.726703245,4.492482985,Abhd13
Abhd14a,4.118549618,1.89092218,4.797817961,5.423021913,4.278528499,5.245565193,3.880162452,3.349376037,3.763811499,1.923228313,3.630935074,3.849783435,3.933479984,3.496346654,3.999980761,4.107467127,3.556625784,3.49722434,4.557717041,4.982741345,4.689040618,4.54830738,4.181706941,3.859711011,Abhd14a
Abhd17a,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,5.244007062,5.499029212,5.212400367,5.507892858,4.475625597,4.544402391,5.029706393,4.693709513,4.881215123,5.154741944,5.004045577,3.648908198,3.843358242,4.211685854,4.876509916,4.482489916,4.60852178,3.567211465,Abhd17a
Abhd17b,6.083883194,6.075251267,5.770557696,6.246736765,5.571016604,5.426139508,6.121144456,5.754419122,5.265194327,6.092846329,5.913582523,5.756172801,6.025049874,6.238371134,6.089323747,5.872959616,5.660082887,6.105986905,4.974270267,5.528722229,5.562921839,5.566736711,5.24532339,5.579517479,Abhd17b
Abhd18,6.671958562,5.896186585,6.346317762,5.993279022,6.394178778,6.639358363,3.994964396,4.792242866,3.763811499,5.145330518,6.619260029,5.097315255,6.004358907,5.928473238,6.284782906,6.656675929,6.089952604,4.910265458,5.390443518,5.816256113,5.562921839,5.773511766,4.937470404,5.836522007,Abhd18
Abhd2,4.941466123,4.42009171,4.121290731,4.687889044,4.37947261,4.730984481,3.755429214,4.901965201,5.100637335,5.585893944,5.438840366,6.609421754,6.050503139,5.114172516,5.723028824,6.533235742,5.52188704,5.025650468,4.293468905,4.768494761,4.352345883,4.851801746,4.181706941,5.051650341,Abhd2
Abhd4,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.750636725,4.067004931,5.265194327,4.797416714,4.726502177,6.487283561,3.933479984,4.91920472,4.41874307,4.912045848,4.454717499,5.49482835,4.848326163,5.573476461,4.961836145,4.98848304,4.60852178,4.93084392,Abhd4
Abhd5,4.631747522,4.33829864,3.850840237,3.759159886,4.278528499,3.66056751,5.780602547,5.231166377,5.265194327,5.507892858,5.77201205,5.588072573,5.505128784,5.487070108,5.771271266,6.213992828,5.432133404,5.572788792,5.248072134,5.109717548,5.449322893,5.208004068,5.322432332,5.21577991,Abhd5
Abhd6,4.496003458,4.251588154,4.450596988,4.341213992,3.856428113,4.196636788,5.748234498,5.600170778,5.745725937,5.623367992,6.321901694,5.83841111,6.386583128,5.754145751,6.199204728,6.196015261,6.170797124,5.909666004,5.783571644,5.888880823,5.260159561,6.093107357,5.531740781,5.876324512,Abhd6
Abhd8,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.293004156,4.158288161,4.148071243,4.585919608,4.564187815,4.035567372,4.137277932,4.097834408,3.524746156,4.182426154,3.950630716,4.133513809,4.636038786,3.965283607,4.07439213,4.54830738,4.60852178,3.720861438,Abhd8
Abi1,5.196303081,4.707528267,5.311618175,5.201087891,4.79942884,4.9236327,4.683751104,5.003929311,5.185260777,5.425432291,5.39121496,5.431282005,1.338428307,1.995718411,1.776872719,1.785778464,1.787658667,1.338428307,4.912672109,5.226416599,4.585301305,4.729459008,5.284392963,5.051650341,Abi1
Abl1,5.985933611,5.943148264,6.208022925,6.22330327,5.911623469,6.039121757,4.101300542,5.052330401,4.148071243,5.092864389,4.564187815,4.120195526,4.229308189,3.828212598,4.535078495,4.62009752,4.918495519,4.495627456,4.912672109,4.42207966,5.042396434,4.729459008,5.0775184,4.866422487,Abl1
Ablim1,6.493355603,6.049780678,6.675086736,7.234283981,6.658025814,7.78163265,5.097530992,6.545255295,6.416861998,6.404044513,6.865679007,5.833406296,6.915980428,6.152184886,6.808554084,7.294336914,6.49646684,6.664309213,5.560746904,6.024004747,6.495471594,6.157790375,6.090173883,6.678552276,Ablim1
Ablim2,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,5.148026905,4.734084956,5.100637335,5.382364439,5.183238424,4.416376547,5.265336111,5.783110494,5.047149703,5.117023046,4.692333152,4.647470763,4.193412749,5.16924672,5.562921839,4.482489916,4.887594483,5.619156232,Ablim2
Ablim3,4.631747522,4.707528267,3.992393625,4.938695,4.052608956,5.798111813,4.380079157,4.158288161,4.357069508,5.292168536,4.280307112,4.871804261,4.54799399,4.521064089,4.836567879,3.855939762,3.950630716,5.231953801,5.297107035,5.281407088,5.507240186,5.287241925,5.359494434,4.93084392,Ablim3
Abr,4.715630049,4.771253245,3.850840237,4.818735357,3.455233179,4.338659205,4.200334178,4.244137751,4.701585051,4.797416714,4.475625597,4.77070677,4.038974582,3.496346654,3.733959567,4.724117665,4.188487389,4.910265458,3.551638157,2.443030594,2.981483135,4.54830738,2.205163947,2.705971404,Abr
Abra,9.255102853,8.690545195,9.043303141,9.127246854,9.583057765,8.822506491,10.301217,9.678106476,10.50188085,10.39322412,10.00159094,10.15220432,9.499607979,10.2631491,10.59265911,10.47517043,10.49855877,9.792422283,9.529361388,9.812578499,9.531189682,9.40438728,9.240542152,9.338182032,Abra
Abraxas2,5.30861499,6.329239636,5.415828966,4.879961645,5.653958077,5.548131291,5.715123545,5.463675826,5.887176098,5.24486387,5.572952798,5.328316954,5.890577481,5.487070108,5.747351683,5.394312945,5.761835405,4.910265458,5.090097042,5.16924672,5.562921839,5.287241925,5.205166254,5.363129837,Abraxas2
Abtb1,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,5.843238261,5.052330401,5.669435515,5.195955391,3.926533666,4.919814759,5.22118875,5.114172516,5.483428327,5.93930132,5.161282976,4.848917027,4.780975787,5.109717548,5.260159561,4.611252726,4.726703245,4.210514485,Abtb1
Acaa2,8.595907778,7.674565337,7.808383527,8.13689483,8.068058203,8.158868815,8.352881164,8.336700258,8.558486374,7.937858636,7.960138136,8.288338967,7.623954842,6.898207531,8.414053649,8.261215962,8.151184113,8.112136633,8.798666099,8.038319035,8.200929872,8.821005001,8.490568769,8.25223461,Acaa2
Acaca,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.293004156,3.969553487,3.763811499,4.861545124,5.484943703,5.054945233,4.617764911,4.215837255,3.139999423,4.507990544,4.827550874,5.080057269,4.780975787,4.982741345,4.876509916,4.008424351,3.69391283,4.866422487,Acaca
Acacb,5.601027833,6.35025735,6.520047256,6.63202585,5.436914762,6.120042306,5.646530792,5.003929311,5.157600841,5.507892858,5.438840366,5.431282005,5.308172551,4.847885257,5.066611282,5.279494576,5.3528225,5.080057269,5.883280209,6.176850757,7.114252457,6.390915782,5.850882905,6.218405434,Acacb
Acad10,5.985933611,5.970554307,5.809342099,6.292491885,5.977514643,6.404773502,4.200334178,3.865039428,2.403951781,3.507974125,4.564187815,2.903528609,3.245411253,3.828212598,3.828189742,3.76130772,5.161282976,4.232912568,6.931834587,6.764339057,6.605627328,6.622444778,6.679330327,5.731928971,Acad10
Acad11,5.880846348,5.79771847,5.730701767,5.877956187,5.944945198,6.011107182,6.645240299,6.068661998,6.046470407,6.404044513,7.030181867,6.866215434,6.283018201,6.933085263,6.688074672,7.075812914,6.752751077,7.422346027,7.678550464,7.747461073,7.715197362,7.884251142,7.795934651,7.761499575,Acad11
Acad8,6.420235148,5.60132224,5.770557696,5.907662573,6.26820445,5.893269811,5.780602547,5.663862386,5.853092375,5.585893944,5.238110164,6.2067853,5.128622065,5.052065453,6.011126463,5.895414195,5.946051515,5.572788792,6.035525316,6.205568608,5.858247046,6.259540445,6.196413944,6.218405434,Acad8
Acadl,8.01840726,7.098503796,7.476127397,7.451531182,7.649987542,7.877848161,8.368936639,8.842487467,8.751243851,8.646282873,9.320099872,8.55855453,8.725493731,8.509606384,9.293666003,9.193173579,8.961742008,8.600321079,9.393633033,9.226143393,9.345215916,9.492709267,9.209160436,9.249400734,Acadl
Acadm,9.575836333,8.739160428,9.081434727,9.152279774,9.306892886,9.215208011,9.944739264,10.14227486,9.753947972,9.776734024,9.622957578,9.39928408,9.296985613,8.934384453,9.53980529,9.604382169,9.352698516,9.319927349,10.15693265,10.06752452,9.949353269,10.24553219,9.701150506,9.755519985,Acadm
Acads,5.6866631,5.103825759,4.872975108,4.995130512,5.436914762,4.862231199,5.376972673,4.734084956,5.100637335,5.507892858,5.572952798,5.011293111,5.541487459,4.426319966,5.863170659,5.515235755,5.123550868,4.133513809,6.092192608,5.434820261,6.026128495,6.372864584,5.656111495,5.695308859,Acads
Acadsb,6.792750232,6.307911196,6.653932487,6.815595523,6.810435051,6.862248408,7.696410756,8.121058141,7.787022104,7.797377926,7.536357141,8.154284226,7.527553379,7.58683541,7.915371621,8.001420594,8.084011291,7.646211832,8.701841401,8.704150713,8.715732264,8.673957976,8.700118889,8.629924169,Acadsb
Acadvl,8.355607674,7.506870729,7.936544621,8.239743153,8.205013183,8.190438944,7.908986246,8.261493228,7.980986757,8.119304913,8.622429937,8.237149836,7.995573639,7.702537752,8.592472257,8.612453928,8.574708512,7.946301763,9.315462146,8.729090871,8.945202443,9.264532257,8.80459954,9.053548664,Acadvl
Acap2,4.346147907,4.707528267,4.634628296,4.754795093,4.938270931,4.660593896,4.200334178,4.401881282,4.776236942,4.797416714,4.940147278,5.011293111,4.54799399,4.91920472,4.448718151,4.673044888,4.224579405,5.717106578,4.293468905,4.42207966,4.585301305,4.785118054,4.60852178,5.241407207,Acap2
Acat1,9.20155831,8.719102788,8.32573013,8.898563069,9.018843541,8.743832094,9.374054257,9.245163371,9.51601376,8.992579215,9.379273899,9.53456282,8.914092824,8.158106522,8.844378439,9.112401821,9.205158943,8.938887091,9.633860662,9.374203221,9.573317626,9.621080323,9.52374582,9.450252525,Acat1
Acbd3,4.587903464,4.459312551,4.40067195,4.384111449,4.052608956,4.586591926,4.683751104,4.610224903,4.914864762,4.730304629,5.484943703,5.431282005,3.488272979,4.835402418,4.572043314,4.182426154,4.688203404,4.671057634,4.474898007,4.982741345,3.729791678,4.671566173,4.338432514,4.992511252,Acbd3
Acd,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.101300542,4.544064598,4.030999621,4.507919947,4.475625597,5.138476347,5.175647692,4.215837255,4.642728899,4.82113958,4.571421951,5.325003261,4.085896755,4.42207966,4.585301305,4.413525649,4.66882231,5.21577991,Acd
Acer3,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,3.61888228,4.673483745,4.030999621,4.730304629,4.054342423,4.544402391,4.684316688,4.609967793,4.742901443,4.507990544,4.73048524,4.573545872,4.912672109,5.434820261,4.785818187,4.18432926,4.782351292,4.653860748,Acer3
Acin1,3.691291541,3.716820238,4.348957116,4.297001819,4.112491109,4.764932397,6.609648665,6.346096484,6.462789681,6.632573939,5.655900344,6.594708108,6.07551511,6.45784138,6.284782906,5.917524633,6.373265482,6.243442855,6.45831082,6.511838602,7.017925214,6.591558522,6.818926241,6.871435683,Acin1
Ackr3,5.196303081,5.79771847,5.55926081,6.358513656,6.510031112,6.066602685,6.21887003,5.971326282,5.818183898,6.31523617,6.216539653,6.282185909,4.923506244,6.884016872,6.982562767,7.476646866,6.263053713,6.182581119,5.850803723,5.699967204,6.466566386,5.534620858,5.714494415,4.992511252,Ackr3
Acly,6.219365531,7.054359284,6.543242189,6.269795708,5.86015182,6.946017089,6.146203426,5.866945329,5.688889656,6.232774921,6.466786726,5.742888796,5.862110719,5.704540193,5.723028824,5.717811967,6.119006055,6.066108849,5.915041684,5.816256113,6.344780872,5.688495171,5.975483933,6.068976278,Acly
Aco1,4.447760679,3.075290169,4.121290731,4.466259571,4.278528499,4.039091312,3.299581542,3.630125361,3.609032603,3.797461041,4.054342423,3.636488737,2.586428729,3.296560966,3.407539665,3.30495774,4.034349887,4.232912568,2.366402932,4.211685854,4.07439213,3.911715068,4.096459613,4.653860748,Aco1
Aco2,10.6487296,10.0985014,10.09973793,10.2611875,10.3498238,10.48589665,10.12886241,10.10116601,10.50805455,10.49781296,10.02713315,10.09061547,9.468480722,9.301029744,9.606973622,9.617104419,9.56816179,10.24671787,10.94355755,10.86444501,10.87236461,10.8866671,10.75826939,10.85339658,Aco2
Acot13,7.713827279,7.623684234,7.624872551,7.297360475,7.858897632,7.718067385,7.738213131,7.679897615,7.899837579,7.595334983,7.480559488,8.472643374,6.873826899,7.016759936,7.657497086,7.13362449,7.258383474,7.750535939,8.141532445,8.451882,8.318826292,8.187680873,8.24532367,8.319950778,Acot13
Acot7,4.715630049,4.42009171,4.718529288,4.466259571,4.47381327,4.798099819,3.545435224,3.752358505,3.968697112,3.585970934,3.926533666,4.347834719,4.747933322,3.296560966,3.999980761,4.182426154,4.392622838,4.232912568,4.193412749,2.784998898,4.689040618,4.008424351,4.096459613,3.19992563,Acot7
Acox1,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.200334178,4.244137751,5.100637335,4.038455502,3.786291937,4.822140891,4.038974582,4.521064089,3.916640775,3.551101949,4.259790498,4.848917027,4.636038786,4.42207966,5.32600864,4.940265679,4.726703245,4.653860748,Acox1
Acox2,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,5.715123545,5.663862386,5.669435515,5.892550368,4.171744268,6.336257924,3.057334229,1.995718411,4.478083091,4.56513269,3.767037167,5.61024408,1.338428307,1.993961442,2.610755999,1.836818579,2.498895636,1.338428307,Acox2
Acox3,5.556225379,5.492093777,4.797817961,5.338299723,5.124300144,5.660607089,4.683751104,4.401881282,5.782409761,4.425460974,4.475625597,4.919814759,4.137277932,4.693709513,3.524746156,4.773444065,4.188487389,5.080057269,5.520018441,5.659023617,5.449322893,5.166691024,5.498897518,5.31566593,Acox3
Acp1,5.672878821,5.772092156,5.571947887,5.266746898,5.843285336,5.683862653,5.406310854,5.380813336,5.581825637,5.604752638,4.152447967,5.397092006,4.828417743,4.295194331,4.562753471,4.980019221,4.701069812,4.535112636,6.148856674,4.729476439,6.284778727,4.553445316,6.335353344,4.388968024,Acp1
Acp2,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,5.537109958,5.231166377,4.776236942,4.585919608,5.004866608,5.255350233,5.467830059,5.114172516,5.454173093,4.321583675,5.336423361,5.132486632,7.06520436,7.318485107,6.657703693,6.390915782,7.129021099,7.084658352,Acp2
Acsl1,9.388873127,8.835467476,9.063497967,9.04275329,8.656047502,9.184181091,8.041774632,8.230277217,8.151937261,8.623346111,8.520976079,8.808544291,8.197052264,7.629990213,8.484476299,8.7170071,8.585156879,8.53851986,9.861297382,9.699770449,9.783474822,10.1307186,9.877591913,9.850171206,Acsl1
Acsl3,5.622917889,5.751068598,6.319699044,5.719491777,6.086044121,5.696231321,3.994964396,4.067004931,3.435630321,4.338001718,3.786291937,3.516717587,3.987191332,4.097834408,2.811286077,3.855939762,3.861752427,4.413259279,2.539403004,4.211685854,3.99564794,4.303474139,4.222513176,4.534551057,Acsl3
Acsl4,5.105931338,5.766786757,5.770557696,5.338299723,5.181335942,6.315963735,5.796518257,5.811779039,4.701585051,5.382364439,5.896627517,5.702286731,5.175647692,5.258662292,5.264968086,5.097787226,5.462675925,5.347357241,5.499214759,5.254173833,5.449322893,5.287241925,5.00919311,5.559282067,Acsl4
Acsl6,5.105931338,5.289380097,5.883916478,4.938695,4.762525195,5.660607089,5.988872668,5.996282763,5.588884467,5.861523924,6.848148082,5.976476936,6.929762274,6.844257124,5.928446585,5.895414195,6.582420334,5.231953801,6.17322682,6.147549627,6.63190047,6.622444778,6.112057003,6.6971924,Acsl6
Acsm5,7.52038622,7.359169764,8.214538315,8.039626881,6.7362421,8.106874092,4.934485126,4.244137751,5.04133189,3.797461041,5.615022621,5.729481338,3.819658373,5.663589886,5.540217047,5.679508606,3.950630716,4.848917027,5.197311799,6.392021257,6.657703693,6.372864584,5.951409795,6.243986545,Acsm5
Acss1,8.034829333,6.884663325,7.168292196,7.838395649,7.32248658,7.660616984,5.610971377,5.811779039,4.701585051,5.695516558,6.347082322,5.9303454,4.867322992,4.324913771,5.723028824,6.333928584,5.462675925,5.61024408,7.200229186,7.180637799,7.4895511,7.184700955,6.883965367,7.05606042,Acss1
Acss2,4.346147907,3.840806608,3.517716037,4.10521418,3.856428113,4.383054324,4.750636725,4.325164393,4.357069508,3.922984536,4.87238772,3.945663895,4.397432816,4.847885257,4.535078495,4.62009752,5.369037323,4.413259279,5.033345737,4.843501524,5.668225146,5.534620858,5.24532339,4.992511252,Acss2
Acss3,4.631747522,4.42009171,4.23961017,4.466259571,4.052608956,4.039091312,4.200334178,3.865039428,3.609032603,3.338062667,2.755823592,4.035567372,5.080011809,4.215837255,4.078768243,4.107467127,4.327734902,4.325902161,4.912672109,5.334378266,5.813036104,4.54830738,5.465289119,5.108460355,Acss3
Acta1,13.6709103,13.46231528,13.50019946,13.45311188,13.32382021,13.37572423,13.20065534,13.14538642,13.24328327,13.33564963,13.58428056,13.19526491,13.35068403,13.26260948,13.21746562,13.12781327,13.17106471,13.07062231,13.27862163,13.11556338,13.30542175,12.95304588,13.00297844,13.17187332,Acta1
Acta2,6.369344603,6.598811532,5.012474153,5.423021913,6.658025814,5.467960127,5.780602547,6.137582822,6.320373006,7.038389862,5.39121496,7.575710323,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,5.600357069,4.42207966,7.151051833,4.264842232,5.59526593,3.720861438,Acta2
Actb,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,9.025581316,9.141310055,8.9487502,9.552261529,9.028681164,9.737816638,9.481405411,9.262982475,9.378842039,9.202208087,9.686103287,10.65336192,8.702205529,8.395854143,8.734039822,8.590503232,8.883851878,8.908440324,Actb
Actc1,8.609676482,6.360652488,9.03923003,8.48114031,5.483014346,7.548141987,5.148026905,6.57040171,7.297364507,8.404033596,9.504856832,8.050280798,10.7455562,8.641989407,11.17599136,10.06067347,10.16319153,6.939107408,7.187281378,6.392021257,5.90208412,5.929847046,5.322432332,6.821336123,Actc1
Actg1,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,7.927172625,8.105831208,7.566343605,8.478365023,8.767043118,8.681422157,7.581631328,7.413419104,7.40764204,7.222891388,7.891630981,7.118779028,7.772570588,7.702834563,8.091591401,7.795562605,8.179488607,8.378868915,Actg1
